id,time,merchid,money,c_amt,p_amt,content
"99535","2017-02-23 19","491","37600","0","0","B级票"
"99535","2017-02-23 19","491","18800","0","0","B级票"
"134587","2017-02-23 19","491","20400","0","0","D级票"
"93697","2017-02-23 19","491","19600","0","0","C级票"
"93697","2017-02-23 19","491","19600","0","0","D级票"
"127103","2017-02-23 19","491","57600","0","0","A级票"
"92885","2017-02-23 19","491","56400","0","0","B级票"
"38617","2017-02-23 19","491","37600","4000","0","B级票"
"59","2017-02-23 19","491","86400","0","0","A级票"
"134669","2017-02-23 19","491","37600","1000","0","B级票"
"312","2017-02-23 19","491","51200","0","0","C级票"
"86049","2017-02-23 19","491","25600","0","0","C级票"
"134694","2017-02-23 19","491","37600","0","0","B级票"
"111815","2017-02-23 19","491","56400","1000","0","B级票"
"71753","2017-02-23 19","491","56400","0","0","B级票"
"113259","2017-02-23 19","491","27200","0","0","D级票"
"134543","2017-02-23 19","491","37600","0","0","B级票"
"89455","2017-02-23 19","491","13600","0","0","D级票"
"109681","2017-02-23 19","491","20400","0","0","D级票"
"39868","2017-02-23 19","491","57600","0","0","A级票"
"22729","2017-02-23 20","491","20400","0","0","D级票"
"131521","2017-02-23 20","491","37600","200","0","B级票"
"6914","2017-02-23 20","491","37600","0","0","B级票"
"290","2017-02-23 20","491","27200","0","0","D级票"
"134575","2017-02-23 20","491","37600","0","0","B级票"
"19964","2017-02-23 20","491","37600","0","0","B级票"
"57864","2017-02-23 20","491","56400","0","0","B级票"
"38617","2017-02-23 20","491","37600","500","0","B级票"
"125735","2017-02-23 20","491","37600","0","0","B级票"
"38617","2017-02-23 20","491","37600","200","0","B级票"
"66386","2017-02-23 21","491","86400","0","0","A级票"
"44565","2017-02-23 21","491","34000","0","0","D级票"
"50159","2017-02-23 21","491","57600","0","0","A级票"
"28213","2017-02-23 21","491","56400","0","0","B级票"
"90773","2017-02-23 21","491","13600","0","0","D级票"
"4292","2017-02-23 21","491","13600","0","0","D级票"
"311","2017-02-23 21","491","20400","0","0","D级票"
"62689","2017-02-23 21","491","37600","0","0","B级票"
"4858","2017-02-23 21","491","37600","0","0","B级票"
"70509","2017-02-23 21","491","13600","0","0","D级票"
"134935","2017-02-23 21","491","56400","0","0","B级票"
"67502","2017-02-23 21","491","57600","0","0","A级票"
"75130","2017-02-23 21","491","13600","1000","0","D级票"
"35916","2017-02-23 21","491","37600","0","0","B级票"
"117442","2017-02-23 22","491","37600","0","0","B级票"
"23769","2017-02-23 22","491","86400","0","0","A级票"
"44642","2017-02-23 22","491","57600","0","0","A级票"
"135053","2017-02-23 22","491","20400","0","0","D级票"
"71142","2017-02-23 23","491","75200","0","0","B级票"
