id,first,last,num,total_cnt,p_cnt,c_cnt,leaderid
"59","2016-03-23","2017-06-25","173","174","11","61","59"
"237","2016-04-06","2017-06-22","425","429","60","313","237"
"290","2016-02-16","2017-06-26","323","326","39","111","290"
"311","2016-02-16","2017-06-18","11","11","1",NULL,"237"
"312","2016-06-08","2017-06-20","59","59","9","19","237"
"4255","2016-04-06","2017-06-20","52","52","11","18","237"
"4292","2016-04-20","2017-04-27","10","10","4","1","237"
"4310","2016-11-12","2017-06-17","68","68","12","46","4310"
"4530","2016-10-21","2017-06-22","52","52","13","35","4530"
"4858","2016-04-12","2017-06-23","46","47","4","8","4858"
"4880","2016-09-02","2017-06-17","174","175","36","129","4880"
"4898","2016-09-02","2017-06-24","7","7",NULL,"1","4898"
"4954","2016-04-13","2017-06-22","30","30","3","3","237"
"6914","2016-04-27","2017-06-24","126","126","6","22","6914"
"9352","2016-05-14","2017-06-18","110","110","24","71","1568"
"11623","2017-04-11","2017-06-16","37","37","10","21","11623"
"14244","2017-02-24","2017-06-16","7","9","2",NULL,"237"
"14521","2017-06-08","2017-06-25","10","11","2",NULL,"301636"
"15434","2016-06-14","2017-06-26","169","175","12","93","15434"
"15669","2016-06-14","2017-06-21","67","74","1","2","237"
"16957","2016-06-20","2017-06-19","16","16",NULL,NULL,"16238"
"17200","2016-06-20","2017-06-16","59","60","13","28","237"
"17735","2016-08-10","2017-06-22","22","22","1","1","14897"
"18099","2016-09-03","2017-06-25","48","50","1","9","11770"
"18271","2017-01-16","2017-06-20","7","7","4","2","18271"
"18470","2016-09-20","2017-06-24","80","82","23","21","18470"
"19394","2017-03-24","2017-06-14","18","18","2","11","19394"
"19492","2016-06-29","2017-06-13","82","82","13","6","237"
"19575","2016-07-09","2017-06-19","152","153","8","125","19575"
"19783","2016-07-02","2017-05-15","22","23","1","1","17095"
"19892","2016-08-13","2017-06-20","76","76","20","53","237"
"19893","2016-10-30","2017-06-17","74","74","28","30","19893"
"19921","2016-12-10","2017-06-16","81","81","25","46","19921"
"19939","2016-12-24","2017-06-22","6","6","1","1","237"
"19964","2016-06-30","2017-06-20","59","59","11","15","19964"
"20322","2016-07-01","2017-06-18","48","48","10","20","237"
"20915","2017-05-04","2017-06-13","9","9","2","5","20915"
"21056","2016-07-05","2017-02-24","3","3",NULL,NULL,"237"
"21170","2016-07-05","2017-06-14","20","20",NULL,"2","237"
"21236","2016-07-05","2017-04-17","3","3",NULL,"1","237"
"22729","2017-02-23","2017-02-23","1","1",NULL,NULL,"237"
"22971","2016-08-08","2017-06-04","7","7","1",NULL,"22971"
"23301","2016-08-11","2017-06-25","68","68","17","33","23301"
"23769","2016-08-02","2017-04-30","121","121","11","60","20442"
"23777","2016-08-03","2017-06-17","40","40","5","31","23777"
"23891","2016-07-22","2017-06-20","14","14","4","3","20442"
"24021","2016-08-08","2017-06-25","97","97","7","23","20442"
"24853","2016-09-19","2017-06-17","48","49","11","14","24853"
"25016","2016-12-28","2017-06-15","51","51","7","37","25016"
"25696","2016-07-21","2017-06-25","132","135","13","25","237"
"25876","2016-07-22","2017-03-08","21","21","2","9","20442"
"27997","2016-08-09","2017-06-25","424","424","63","367","27997"
"28213","2016-10-31","2017-06-14","16","16","3","1","237"
"28277","2017-02-22","2017-06-18","19","19","3","9","27980"
"28591","2016-08-31","2017-06-03","27","27","7","19","19464"
"28948","2016-08-03","2017-06-26","388","391","48","315","28948"
"29267","2016-08-05","2017-06-13","8","8","2","2","28948"
"29278","2016-08-05","2017-06-23","37","37","7","27","28948"
"29376","2016-08-18","2017-06-09","11","11",NULL,"2","20442"
"29708","2017-02-23","2017-03-22","3","3","1",NULL,"237"
"30504","2016-08-06","2017-03-18","30","30","2","10","320"
"30683","2016-09-27","2017-06-18","5","5","2","1","28948"
"31723","2016-08-10","2017-03-13","4","4",NULL,"2","14897"
"32729","2016-08-12","2017-06-17","66","66","14","26","237"
"33281","2016-09-13","2017-06-25","401","404","79","323","33281"
"35417","2016-09-12","2017-06-25","27","27","7","5","35417"
"35916","2016-08-26","2017-06-26","44","44","5","12","19464"
"37910","2016-08-31","2017-06-11","34","35","4","23","37910"
"37957","2016-08-30","2017-06-20","77","78","7","18","37447"
"38205","2016-12-07","2017-02-23","11","11","2","3","25635"
"38449","2016-08-31","2017-06-24","62","62","5","19","11770"
"38541","2016-10-08","2017-06-13","2","2","1","1","28948"
"38617","2016-09-01","2017-06-26","574","580","89","458","38617"
"38779","2016-09-27","2017-06-17","33","33","8","20","24090"
"39068","2016-09-02","2017-05-13","7","7",NULL,"3","13401"
"39690","2016-09-24","2017-06-23","93","93","17","56","4880"
"39868","2016-09-06","2017-06-23","138","138","19","85","35987"
"40438","2016-09-11","2017-06-04","24","26","6","7","37659"
"40810","2016-09-08","2017-06-10","40","40",NULL,"11","35928"
"40866","2016-09-27","2017-06-25","35","35","5","18","40866"
"41829","2017-01-18","2017-06-22","44","44","10","35","27980"
"42743","2016-09-27","2017-06-23","119","124","34","64","42743"
"44505","2017-02-25","2017-02-25","1","1",NULL,NULL,"32251"
"44565","2016-09-19","2017-06-23","43","43","13","15","237"
"44642","2016-09-19","2017-06-09","6","6",NULL,NULL,"4858"
"45674","2016-09-22","2017-02-24","4","4",NULL,"1","237"
"45675","2016-09-22","2017-03-15","3","3",NULL,"1","237"
"45720","2016-11-16","2017-06-24","46","46","10","28","45720"
"46085","2016-09-22","2017-06-25","150","166","23","88","46085"
