
id,day,time
"21","1","2017-03-19 19"
"21","7","2017-03-25 19"
"21","7","2017-03-25 23"
"21","7","2017-03-25 23"
"21","7","2017-03-25 23"
"21","7","2017-03-25 23"
"21","1","2017-05-14 16"
"21","1","2017-05-14 16"
"22","7","2017-04-01 14"
"22","1","2017-04-16 09"
"28","7","2017-03-11 13"
"28","7","2017-03-11 13"
"28","1","2017-03-26 04"
"28","7","2017-04-22 17"
"28","7","2017-04-22 17"
"28","1","2017-04-30 13"
"28","1","2017-04-30 13"
"28","7","2017-05-13 11"
"34","1","2017-04-09 15"
"34","1","2017-04-09 15"
"51","1","2017-03-26 00"
"51","1","2017-03-26 00"
"59","7","2017-03-18 19"
"59","7","2017-03-18 19"
"59","7","2017-03-18 19"
"59","7","2017-03-25 12"
"59","7","2017-03-25 23"
"59","1","2017-03-26 14"
"59","7","2017-04-08 18"
"59","7","2017-04-08 20"
"59","1","2017-04-30 12"
"59","1","2017-05-07 10"
"59","7","2017-05-13 15"
"59","7","2017-05-13 15"
"62","1","2017-05-07 18"
"83","7","2017-04-22 08"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 07"
"83","7","2017-05-06 18"
"83","7","2017-05-06 18"
"83","7","2017-05-06 18"
"83","7","2017-05-06 20"
"83","7","2017-05-06 20"
"83","7","2017-05-06 20"
"83","7","2017-05-06 21"
"83","1","2017-05-07 09"
"83","1","2017-05-07 09"
"83","1","2017-05-07 09"
"83","7","2017-05-13 14"
"83","7","2017-05-13 14"
"83","7","2017-05-13 14"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","7","2017-05-13 15"
"83","1","2017-05-14 17"
"83","1","2017-05-14 22"
"83","1","2017-05-14 22"
"83","1","2017-05-14 22"
"83","1","2017-05-14 22"
"83","1","2017-05-14 22"
"83","1","2017-05-14 22"
"158","7","2017-04-01 14"
"158","7","2017-04-01 14"
"158","1","2017-05-21 22"
"161","1","2017-04-16 22"
"165","7","2017-03-18 17"
"237","1","2017-03-05 08"
"237","1","2017-03-12 13"
"237","1","2017-03-12 13"
"237","1","2017-03-12 14"
"237","1","2017-03-12 14"
"237","1","2017-03-12 14"
"237","1","2017-03-12 14"
"237","1","2017-03-12 14"
"237","1","2017-03-12 14"
"237","1","2017-03-12 15"
"237","1","2017-03-12 15"
"237","7","2017-03-18 08"
"237","7","2017-03-18 18"
"237","7","2017-03-25 23"
"237","7","2017-03-25 23"
"237","7","2017-03-25 23"
"237","7","2017-03-25 23"
"237","7","2017-03-25 23"
"237","7","2017-04-01 12"
"237","7","2017-04-01 21"
"237","1","2017-04-02 18"
"237","1","2017-04-02 18"
"237","1","2017-04-02 18"
"237","1","2017-04-16 18"
"237","7","2017-04-29 09"
