id,first,if_zxs,order,normal_c,first_name,normal_name,first_c
"268","2017-06-20","1","2017-07-01","1","泰国椰青","烤制香脆大花生","1"
"410","2017-06-11","0",NULL,NULL,"红心火龙果",NULL,"0"
"1489","2017-06-27","0",NULL,NULL,"丹东黄蚬",NULL,"1"
"1567","2017-06-27","1","2017-06-29","1","山楂优块","六鳌红蜜薯","1"
"1692","2017-06-13","0","2017-07-10","0","蓝莓","泰国沙竹(山竹)","0"
"1692","2017-06-13","0","2017-07-08","0","蓝莓","海南高山青柠檬","0"
"4869","2017-06-06","0",NULL,NULL,"夹心海苔",NULL,"1"
"5124","2017-06-10","0","2017-06-15","1","台农凤梨16号","每日坚果","1"
"5124","2017-06-10","0","2017-06-20","0","台农凤梨16号","阿根廷红虾","1"
"5124","2017-06-10","0","2017-06-20","1","台农凤梨16号","手工清真牛肉酱","1"
"5124","2017-06-10","0","2017-06-20","0","台农凤梨16号","柳州螺蛳粉","1"
"5124","2017-06-10","0","2017-06-10","1","台农凤梨16号","台农凤梨16号","1"
"5287","2017-06-27","0","2017-06-27","1","红心火龙果","山楂优块","1"
"5287","2017-06-27","0","2017-06-29","1","红心火龙果","湖南米粉","1"
"6382","2017-06-26","1","2017-06-28","1","夹心海苔","刘老汉薄皮吊瓜","1"
"6382","2017-06-26","1","2017-06-29","1","夹心海苔","五彩野鸡蛋","1"
"6382","2017-06-26","1","2017-07-08","1","夹心海苔","乐纯希腊酸奶","1"
"6382","2017-06-26","1","2017-06-29","1","夹心海苔","藜麦","1"
"6382","2017-06-26","1","2017-06-27","1","夹心海苔","夹心海苔","1"
"6382","2017-06-26","1","2017-07-04","1","夹心海苔","泰国沙竹(山竹)","1"
"6382","2017-06-26","1","2017-06-27","1","夹心海苔","裸酸奶","1"
"6711","2017-06-25","0",NULL,NULL,"桂味荔枝",NULL,"0"
"6906","2017-06-28","0",NULL,NULL,"赤焰紫桃",NULL,"0"
"8249","2017-06-14","1","2017-07-07","0","蓝莓","生态巢蜜","0"
"8249","2017-06-14","1","2017-07-03","0","蓝莓","泰国椰青","0"
"8249","2017-06-14","1","2017-07-07","0","蓝莓","山楂优块","0"
"10019","2017-06-10","0","2017-07-07","1","刘老汉薄皮吊瓜","六鳌红蜜薯","0"
"10019","2017-06-10","0","2017-07-01","1","刘老汉薄皮吊瓜","生态鲜腐竹","0"
"10019","2017-06-10","0","2017-06-22","1","刘老汉薄皮吊瓜","砀山黄油桃","0"
"10019","2017-06-10","0","2017-07-01","1","刘老汉薄皮吊瓜","麻辣小龙虾","0"
"10019","2017-06-10","0","2017-06-10","1","刘老汉薄皮吊瓜","台农凤梨16号","0"
"10019","2017-06-10","0","2017-07-03","1","刘老汉薄皮吊瓜","海南桥沙地瓜","0"
"10020","2017-06-24","1","2017-07-07","0","新西兰红玫瑰苹果","每日坚果","0"
"10106","2017-06-11","0","2017-06-18","1","舟山带鱼","五彩野鸡蛋","0"
"10106","2017-06-11","0","2017-06-14","1","舟山带鱼","夹心海苔","0"
"10106","2017-06-11","0","2017-06-27","1","舟山带鱼","生态鲜腐竹","0"
"10106","2017-06-11","0","2017-06-28","1","舟山带鱼","泰国沙竹(山竹)","0"
"10219","2017-06-18","0","2017-06-18","1","蓝莓","巨无霸金奇异果","1"
"10317","2017-06-29","0","2017-06-30","0","海南桥沙地瓜","泰国椰青","1"
"10569","2017-06-11","0",NULL,NULL,"台农凤梨16号",NULL,"0"
"10589","2017-06-17","0",NULL,NULL,"蓝莓",NULL,"1"
