time,user_id,order
"2017-05-15 10","103120","37"
"2017-05-12 23","107346","36"
"2017-05-09 21","83947","27"
"2017-05-12 12","20442","27"
"2017-05-15 10","156696","21"
"2017-05-15 10","31831","20"
"2017-05-08 23","107346","19"
"2017-05-13 10","293623","17"
"2017-05-12 11","37078","15"
"2017-05-14 10","31831","13"
"2017-05-13 10","71509","13"
"2017-05-15 10","202355","13"
"2017-05-13 10","294662","13"
"2017-05-12 13","172962","13"
"2016-05-25 19","165","12"
"2017-05-15 10","172282","12"
"2017-05-13 10","103120","12"
"2017-05-13 15","83","11"
"2017-05-14 10","27997","11"
"2017-05-12 11","20442","11"
"2017-05-10 15","107035","11"
"2017-05-15 10","297931","11"
"2017-05-16 20","107346","11"
"2017-05-15 10","50694","11"
"2016-05-20 17","3055","11"
"2017-05-15 10","136082","11"
"2017-05-13 10","281454","11"
"2017-05-06 07","83","10"
"2017-05-13 10","104506","10"
"2017-05-13 08","80404","10"
"2017-05-12 15","186021","10"
"2017-05-09 18","272539","10"
"2017-05-16 21","123170","10"
"2017-05-12 10","43287","10"
"2017-05-12 10","196716","9"
"2017-05-15 10","256007","9"
"2017-05-15 10","168335","9"
"2017-05-12 14","190478","9"
"2017-05-14 10","36037","9"
"2016-05-31 23","1568","9"
"2017-05-12 10","105432","9"
"2017-05-15 10","23483","9"
"2017-05-12 09","191190","9"
"2017-05-15 10","33281","9"
"2016-05-06 18","165","9"
"2017-05-03 16","172062","9"
"2017-05-15 10","186021","9"
"2017-05-15 10","245881","9"
"2017-05-14 10","103120","9"
"2017-05-05 14","38617","9"
"2017-05-14 22","20442","8"
"2017-05-15 10","293623","8"
"2017-05-15 10","145957","8"
"2017-05-13 10","38617","8"
"2017-05-02 16","107346","8"
"2017-05-12 14","172962","8"
"2017-05-03 06","258290","8"
"2017-05-14 10","145007","8"
"2017-05-08 18","107346","8"
"2017-05-15 10","138259","8"
"2016-05-06 19","165","8"
"2017-05-15 10","162870","8"
"2017-05-03 10","221813","8"
"2017-05-12 05","55962","8"
"2017-05-15 10","212386","8"
"2017-05-13 10","88623","8"
"2016-05-20 17","158","8"
"2017-05-03 10","31831","8"
"2017-05-02 13","249939","8"
"2017-05-15 10","171536","8"
"2017-05-05 14","204927","8"
"2017-05-16 21","124854","8"
"2016-05-18 12","165","8"
"2017-05-01 23","144063","8"
"2017-05-15 10","19464","7"
"2017-05-03 11","155463","7"
"2017-05-02 13","201578","7"
"2017-05-06 17","296106","7"
"2017-05-15 10","83993","7"
"2017-05-15 21","168335","7"
"2017-05-15 10","86021","7"
"2017-05-15 10","35507","7"
"2016-05-18 15","165","7"
"2017-05-12 10","103120","7"
"2016-05-24 19","165","7"
"2016-05-04 09","1472","7"
"2017-05-14 15","326396","7"
"2017-05-04 08","167704","7"
"2017-05-12 14","20442","7"
"2017-05-12 10","225451","7"
"2017-05-15 10","281454","7"
"2017-05-15 19","291660","7"
"2017-05-15 18","219877","7"
"2017-05-12 10","27926","7"
"2017-05-13 10","202355","7"
"2017-05-12 10","71753","7"
"2017-05-13 08","272261","7"
"2017-05-07 20","148961","7"
"2017-05-12 14","156188","7"
"2016-05-20 17","3311","7"
"2017-05-03 10","105432","7"
"2017-05-13 10","20442","7"
"2017-05-12 19","212386","6"
"2017-05-10 07","296106","6"
"2017-05-15 10","145007","6"
"2017-05-13 10","250195","6"
"2017-05-14 12","165797","6"
"2017-05-14 10","167364","6"
"2017-05-15 10","299900","6"
"2017-05-16 21","31831","6"
"2017-05-07 11","270083","6"
"2017-05-10 14","154100","6"
"2017-05-15 10","148961","6"
"2017-05-16 11","243945","6"
"2017-05-15 10","170104","6"
"2017-05-13 13","143390","6"
"2017-05-15 10","154100","6"
"2017-05-16 16","71495","6"
"2017-05-05 17","207990","6"
"2017-05-14 10","76818","6"
"2017-05-15 10","316743","6"
"2017-05-15 10","160408","6"
"2017-05-12 07","294662","6"
"2017-05-13 10","188156","6"
"2017-05-16 19","144063","6"
"2017-05-14 22","83","6"
"2017-05-03 10","43287","6"
"2017-05-15 10","284204","6"
"2017-05-07 08","221548","6"
"2017-05-03 10","163205","6"
"2017-05-13 19","120622","6"
"2017-05-07 09","282966","6"
"2017-05-09 14","107346","6"
"2017-05-02 16","198915","6"
"2017-05-12 14","137673","6"
"2017-05-14 22","171644","6"
"2017-05-08 10","435","6"
"2017-05-14 10","138259","6"
"2017-05-12 10","160374","6"
"2017-05-10 10","138658","6"
"2017-05-13 10","19464","6"
"2017-05-13 10","160360","6"
"2017-05-14 10","40805","6"
"2017-05-14 10","114969","6"
"2017-05-15 10","227542","6"
"2017-05-15 17","107346","6"
"2017-05-13 10","138259","6"
"2017-05-13 10","82193","6"
"2017-05-03 10","131234","6"
"2017-05-13 10","215791","6"
"2017-05-12 15","51009","6"
"2017-05-15 10","135063","6"
"2016-05-20 18","3311","6"
"2017-05-15 10","219877","6"
"2017-05-16 19","107346","6"
"2017-05-15 10","30625","6"
"2017-05-12 12","172595","6"
"2016-05-18 14","165","6"
"2017-05-12 00","298938","6"
"2017-05-09 19","144063","6"
"2017-05-15 10","5356","6"
"2017-05-15 10","198038","6"
"2017-05-12 10","19464","5"
"2017-05-15 18","315582","5"
"2017-05-12 10","137548","5"
"2017-05-04 22","427","5"
"2017-05-12 11","273902","5"
"2017-05-03 12","289452","5"
"2017-05-01 12","175615","5"
"2017-05-12 10","21632","5"
"2017-05-12 10","104506","5"
"2017-05-04 21","17870","5"
"2017-05-03 10","120702","5"
"2017-05-13 04","149594","5"
"2017-05-04 17","296106","5"
"2017-05-12 10","201728","5"
"2016-05-17 20","62","5"
"2016-05-19 19","165","5"
"2017-05-12 07","23301","5"
"2017-05-01 13","274986","5"
"2017-05-13 10","297931","5"
"2017-05-04 19","33281","5"
"2017-05-10 18","128203","5"
"2017-05-12 00","124998","5"
"2017-05-05 22","144063","5"
"2017-05-03 20","239350","5"
"2016-05-25 18","165","5"
"2017-05-03 10","193626","5"
"2017-05-08 12","303017","5"
"2017-05-10 19","114969","5"
"2017-05-15 10","79590","5"
"2017-05-14 10","260350","5"
"2017-05-12 11","107550","5"
"2017-05-11 18","194400","5"
"2017-05-12 13","38308","5"
"2017-05-02 12","187369","5"
"2017-05-13 10","55962","5"
"2017-05-08 18","274986","5"
"2017-05-14 08","237217","5"
"2017-05-15 10","273","5"
"2017-05-03 10","37299","5"
"2017-05-12 10","274160","5"
"2017-05-10 18","275975","5"
"2017-05-10 20","130525","5"
"2017-05-13 12","89874","5"
"2017-05-03 10","71721","5"
"2017-05-07 18","27202","5"
"2017-05-08 20","166841","5"
"2017-05-15 07","144218","5"
"2017-05-17 09","146317","5"
"2017-05-04 23","164110","5"
"2017-05-05 14","42183","5"
"2017-05-07 09","14804","5"
"2017-05-14 10","42183","5"
"2017-05-05 14","51036","5"
"2017-05-15 10","254663","5"
"2017-05-14 00","124934","5"
"2017-05-01 22","78114","5"
"2017-05-14 10","297931","5"
"2017-05-15 10","182079","5"
"2017-05-15 10","144218","5"
"2017-05-12 00","91274","5"
"2017-05-14 10","162882","5"
"2017-05-05 15","83","5"
"2017-05-15 10","45879","5"
"2017-05-15 10","242907","5"
"2017-05-13 19","144063","5"
"2017-05-13 10","86021","5"
"2017-05-01 19","219681","5"
"2017-05-13 14","83","5"
"2017-05-03 22","172056","5"
"2017-05-02 15","107346","5"
"2017-05-13 10","1568","5"
"2017-05-12 08","160408","5"
"2017-05-13 10","148430","5"
"2017-05-09 22","83947","5"
"2017-05-15 10","188981","5"
"2017-05-12 13","51009","5"
"2017-05-13 10","92104","5"
"2017-05-14 21","20442","5"
"2017-05-12 10","38617","5"
"2017-05-06 17","6914","5"
"2017-05-12 22","296115","5"
"2017-05-12 00","33281","5"
"2017-05-14 17","18679","5"
"2017-05-13 10","130383","5"
"2017-05-14 20","62980","5"
"2017-05-13 00","160111","5"
"2017-05-07 20","49859","5"
"2017-05-15 10","221548","5"
"2017-05-02 16","43287","5"
"2017-05-12 08","94555","5"
"2017-05-13 10","224716","5"
"2017-05-12 17","149999","5"
"2017-05-13 15","146730","5"
"2017-05-14 17","83947","5"
"2017-05-13 10","135650","5"
"2017-05-13 11","316743","5"
"2017-05-12 10","137377","5"
"2017-05-11 18","38617","5"
"2017-05-10 17","268985","5"
"2017-05-04 12","255136","5"
"2017-05-13 10","105432","5"
"2017-05-12 16","75560","5"
"2017-05-16 20","271028","5"
"2017-05-12 10","22970","5"
"2017-05-12 12","107346","5"
"2017-05-15 10","256429","5"
"2017-05-02 19","159094","5"
"2017-05-14 10","92104","5"
"2017-05-15 10","44186","5"
"2017-05-15 10","125871","5"
"2017-05-14 10","20442","5"
"2017-05-04 22","158502","5"
"2017-05-03 11","32382","5"
"2017-05-10 21","107346","5"
"2017-05-03 17","155580","5"
"2017-05-08 10","73198","5"
"2017-05-17 17","107346","5"
"2017-05-15 10","170281","5"
"2017-05-08 19","274986","5"
"2017-05-15 10","59","5"
"2017-05-12 12","36030","5"
"2016-05-20 21","165","5"
"2017-05-12 08","89968","5"
"2017-05-12 10","290","5"
"2017-05-10 12","27997","5"
"2017-05-12 12","181456","5"
"2017-05-12 10","136788","5"
"2017-05-15 10","139056","5"
"2017-05-14 20","167704","5"
"2017-05-12 17","82193","5"
"2017-05-09 22","231760","5"
"2017-05-14 10","122583","4"
"2017-05-10 15","67415","4"
"2017-05-14 10","296106","4"
"2017-05-14 20","11770","4"
"2017-05-13 10","136906","4"
"2017-05-12 08","247778","4"
"2017-05-04 19","145431","4"
"2017-05-15 10","39840","4"
"2017-05-08 14","193600","4"
"2017-05-14 16","153257","4"
"2017-05-05 19","14146","4"
"2017-05-04 16","139056","4"
"2017-05-07 10","221446","4"
"2017-05-12 10","297931","4"
"2017-05-14 10","250598","4"
"2017-05-12 21","92384","4"
"2017-05-12 12","116087","4"
"2017-05-05 13","270083","4"
"2017-05-10 19","82193","4"
"2017-05-08 18","144063","4"
"2017-05-14 20","27980","4"
"2017-05-10 11","31831","4"
"2017-05-03 10","26412","4"
"2017-05-09 08","167526","4"
"2017-05-11 18","186021","4"
"2017-05-03 10","192993","4"
"2017-05-02 14","113868","4"
"2017-05-08 13","176405","4"
"2017-05-13 09","235681","4"
"2017-05-15 10","296115","4"
"2017-05-01 10","188150","4"
"2017-05-12 08","31831","4"
"2017-05-07 21","166964","4"
"2017-05-14 10","136788","4"
"2017-05-16 12","92579","4"
"2017-05-14 15","287769","4"
"2017-05-05 18","144063","4"
"2017-05-16 18","258582","4"
"2017-05-14 07","46929","4"
"2017-05-13 10","317544","4"
"2017-05-12 10","72108","4"
"2017-05-14 10","102741","4"
"2017-05-07 11","248","4"
"2017-05-05 16","281514","4"
"2017-05-07 08","172282","4"
"2017-05-09 21","52118","4"
"2017-05-05 20","145201","4"
"2017-05-14 10","72108","4"
"2017-05-12 19","255488","4"
"2017-05-12 11","220265","4"
"2017-05-10 18","90506","4"
"2017-05-13 18","107346","4"
"2017-05-15 10","305764","4"
"2017-05-16 18","160445","4"
"2017-05-11 13","107550","4"
"2017-05-12 18","212386","4"
"2017-05-11 18","20492","4"
"2017-05-12 22","287714","4"
"2017-05-07 19","131496","4"
"2017-05-03 10","250303","4"
"2017-05-15 10","311429","4"
"2017-05-13 10","156140","4"
"2017-05-10 10","144218","4"
"2017-05-12 11","133571","4"
"2017-05-11 18","225451","4"
"2017-05-03 10","157688","4"
"2017-05-08 12","103922","4"
"2017-05-02 14","167704","4"
"2017-05-12 14","200840","4"
"2017-05-12 15","107035","4"
"2017-05-12 09","3311","4"
"2017-05-03 15","291935","4"
"2017-05-04 19","137854","4"
"2017-05-14 10","81560","4"
"2017-05-11 18","33281","4"
"2017-05-13 14","43788","4"
"2017-05-12 11","248134","4"
"2017-05-02 14","18679","4"
"2017-05-12 12","183120","4"
"2017-05-12 12","277899","4"
"2017-05-05 13","103922","4"
"2017-05-09 14","214215","4"
"2017-05-13 10","20516","4"
"2017-05-02 20","216734","4"
"2017-05-13 11","147650","4"
"2017-05-15 18","298938","4"
"2017-05-17 07","315582","4"
"2017-05-14 10","156605","4"
"2017-05-12 10","234788","4"
"2017-05-02 11","101401","4"
"2017-05-11 00","191190","4"
"2017-05-13 10","190140","4"
"2017-05-12 17","91368","4"
"2017-05-13 10","284204","4"
"2017-05-13 11","322566","4"
"2017-05-14 10","89159","4"
"2017-05-04 21","145431","4"
"2017-05-10 13","315279","4"
"2017-05-15 10","161809","4"
"2017-05-14 16","138295","4"
"2017-05-17 11","92233","4"
"2017-05-14 10","49859","4"
"2017-05-13 12","221091","4"
"2017-05-03 10","49859","4"
"2017-05-03 10","86680","4"
"2017-05-02 12","90003","4"
"2017-05-15 10","97027","4"
"2017-05-09 11","245760","4"
"2017-05-13 05","59700","4"
"2017-05-06 20","144063","4"
"2017-05-04 12","281454","4"
"2017-05-12 14","271073","4"
"2017-05-12 08","14804","4"
"2017-05-09 17","246676","4"
"2017-05-02 18","37480","4"
"2017-05-17 08","199303","4"
"2017-05-08 22","257081","4"
"2017-05-06 09","14897","4"
"2017-05-15 10","99489","4"
"2017-05-02 12","274986","4"
"2017-05-02 13","176405","4"
"2017-05-07 20","18964","4"
"2017-05-15 10","185730","4"
"2017-05-14 15","149863","4"
"2017-05-14 16","166522","4"
"2017-05-13 10","81560","4"
"2017-05-14 20","31831","4"
"2017-05-12 10","27997","4"
"2017-05-12 11","185634","4"
"2017-05-09 11","270083","4"
"2017-05-15 10","187167","4"
"2017-05-02 16","205217","4"
"2017-05-12 07","192993","4"
"2017-05-12 17","173878","4"
"2017-05-12 10","31427","4"
"2017-05-04 20","43287","4"
"2017-05-15 10","169323","4"
"2017-05-13 11","98670","4"
"2017-05-01 21","13401","4"
"2017-05-12 10","72139","4"
"2017-05-12 20","273276","4"
"2017-05-10 18","18964","4"
"2017-05-01 08","136788","4"
"2017-05-10 18","260108","4"
"2017-05-16 15","327943","4"
"2017-05-16 18","71753","4"
"2017-05-13 11","109560","4"
"2017-05-07 17","274986","4"
"2017-05-09 13","191190","4"
"2017-05-12 15","314059","4"
"2017-05-10 00","148751","4"
"2017-05-07 10","19872","4"
"2017-05-17 09","101075","4"
"2017-05-03 10","4880","4"
"2017-05-11 21","53183","4"
"2017-05-02 16","138259","4"
"2017-05-01 09","199963","4"
"2017-05-14 18","110709","4"
"2017-05-14 20","145957","4"
"2017-05-15 17","430","4"
"2017-05-01 18","150342","4"
"2017-05-12 10","430","4"
"2017-05-10 05","202820","4"
"2017-05-13 15","282300","4"
"2017-05-08 12","105647","4"
"2017-05-15 10","156733","4"
"2017-05-05 13","91274","4"
"2017-05-09 13","237297","4"
"2017-05-08 17","80253","4"
"2017-05-08 19","162071","4"
"2017-05-14 10","154100","4"
"2017-05-04 20","244520","4"
"2017-05-15 10","62219","4"
"2017-05-08 10","244838","4"
"2017-05-12 21","219422","4"
"2017-05-10 18","42183","4"
"2017-05-15 10","160426","4"
"2017-05-05 18","260350","4"
"2017-05-17 10","43287","4"
"2017-05-04 19","144063","4"
"2017-05-12 10","168722","4"
"2017-05-17 09","187687","4"
"2017-05-02 11","107346","4"
"2017-05-05 00","283076","4"
"2017-05-05 12","14253","4"
"2017-05-01 07","212386","4"
"2017-05-03 12","132187","4"
"2017-05-16 16","272799","4"
"2017-05-07 21","149349","4"
"2017-05-10 22","59700","4"
"2017-05-13 10","136788","4"
"2017-05-13 10","161787","4"
"2017-05-05 22","17870","4"
"2017-05-12 10","103520","4"
"2017-05-14 23","64614","4"
"2017-05-05 22","275299","4"
"2017-05-17 09","221382","4"
"2017-05-04 21","4387","4"
"2017-05-15 10","120952","4"
"2017-05-08 14","180902","4"
"2017-05-13 10","192811","4"
"2017-05-12 17","102107","4"
"2017-05-13 10","294317","4"
"2017-05-02 21","15434","4"
"2017-05-05 22","300535","4"
"2017-05-06 11","247292","4"
"2017-05-12 12","321452","4"
"2017-05-15 10","236493","4"
"2017-05-13 10","33439","4"
"2017-05-12 14","273794","4"
"2017-05-13 10","109638","4"
"2017-05-04 14","295815","4"
"2017-05-09 21","272261","4"
"2017-05-17 11","120308","4"
"2017-05-12 10","145957","4"
"2017-05-12 20","43287","4"
"2017-05-11 18","131401","4"
"2017-05-14 10","252014","4"
"2017-05-16 11","3311","4"
"2017-05-14 13","143422","4"
"2017-05-01 00","225256","4"
"2017-05-01 08","82193","4"
"2017-05-03 14","262158","4"
"2017-05-09 21","297231","4"
"2017-05-05 21","427","4"
"2017-05-04 19","172282","4"
"2017-05-12 10","173868","4"
"2017-05-12 10","210576","4"
"2017-05-09 09","218965","4"
"2016-05-04 11","1472","4"
"2017-05-15 10","244305","4"
"2017-05-12 07","58767","4"
"2017-05-01 16","259001","4"
"2017-05-14 23","276607","4"
"2017-05-02 06","31831","4"
"2017-05-12 10","175581","4"
"2017-05-15 10","170037","4"
"2017-05-15 10","270083","4"
"2017-05-13 10","89655","4"
"2017-05-14 21","183120","4"
"2017-05-06 22","303732","4"
"2017-05-07 21","131877","4"
"2017-05-13 10","121830","4"
"2017-05-10 22","292610","4"
"2017-05-12 09","172282","4"
"2017-05-09 23","311048","4"
"2017-05-13 11","110641","4"
"2017-05-17 15","271616","4"
"2017-05-04 20","211147","4"
"2016-05-05 18","22","4"
"2017-05-10 18","28964","4"
"2017-05-16 11","51009","4"
"2017-05-01 08","180075","4"
"2017-05-13 10","127849","4"
"2017-05-05 18","220168","4"
"2017-05-09 20","86021","4"
"2017-05-10 00","311048","4"
"2017-05-14 22","315582","4"
"2017-05-13 13","20593","4"
"2017-05-03 10","6705","4"
"2017-05-07 12","111138","4"
"2017-05-15 10","156605","4"
"2017-05-15 10","172189","4"
"2017-05-13 09","51009","4"
"2017-05-09 21","107035","4"
"2017-05-15 18","103120","4"
"2017-05-03 18","75560","4"
"2017-05-02 23","1568","4"
"2017-05-09 09","50400","4"
"2017-05-15 10","60873","4"
"2017-05-12 10","4880","4"
"2017-05-11 21","124016","4"
"2017-05-15 12","147562","4"
