time,user_id,order
"2017-05-15 10","259598","58"
"2017-05-15 10","103120","37"
"2017-05-12 23","107346","36"
"2017-05-13 10","321821","34"
"2017-05-12 12","20442","27"
"2017-05-09 21","83947","27"
"2017-05-15 10","302528","23"
"2016-05-09 20","8258","22"
"2017-05-15 10","156696","21"
"2017-05-15 10","31831","20"
"2017-05-08 23","107346","19"
"2017-05-15 10","268760","18"
"2017-05-15 10","19675","17"
"2017-05-15 10","122217","17"
"2017-05-13 10","293623","17"
"2017-05-03 13","150849","17"
"2017-05-15 10","305135","16"
"2017-05-09 14","221648","15"
"2017-05-12 11","37078","15"
"2016-05-25 12","12440","14"
"2017-05-13 10","271034","14"
"2017-05-13 16","214678","14"
"2017-05-13 10","294662","13"
"2017-05-14 10","31831","13"
"2017-05-14 10","55560","13"
"2017-05-15 10","202355","13"
"2017-05-15 10","284224","13"
"2017-05-12 10","290719","13"
"2017-05-12 10","307841","13"
"2017-05-12 13","40053","13"
"2017-05-12 13","172962","13"
"2017-05-13 10","71509","13"
"2017-05-17 11","226160","13"
"2017-05-13 10","103120","12"
"2017-05-13 10","214024","12"
"2016-05-25 19","165","12"
"2017-05-01 12","218438","12"
"2017-05-04 11","290994","12"
"2017-05-15 10","172282","12"
"2017-05-15 10","290625","12"
"2017-05-13 11","269147","12"
"2017-05-13 20","248882","12"
"2017-05-14 10","212238","12"
"2017-05-12 00","65233","12"
"2017-05-12 06","298194","11"
"2017-05-15 10","45902","11"
"2017-05-15 10","50694","11"
"2017-05-15 10","136082","11"
"2017-05-15 10","297931","11"
"2017-05-12 10","218954","11"
"2017-05-12 11","20442","11"
"2017-05-12 23","36619","11"
"2017-05-13 10","191004","11"
"2017-05-13 10","203891","11"
"2017-05-08 12","301374","11"
"2017-05-16 20","107346","11"
"2016-05-16 23","4316","11"
"2016-05-20 17","3055","11"
"2016-05-25 10","12433","11"
"2017-05-01 18","139358","11"
"2017-05-13 10","281454","11"
"2017-05-13 15","83","11"
"2017-05-14 10","27997","11"
"2017-05-09 19","302949","11"
"2017-05-10 11","279410","11"
"2017-05-10 15","107035","11"
"2017-05-09 10","178815","10"
"2017-05-09 18","272539","10"
"2017-05-16 21","123170","10"
"2017-05-17 16","277551","10"
"2017-05-12 15","186021","10"
"2017-05-13 08","80404","10"
