time,user_id,order
"2016-08-25 14","3055","58"
"2017-01-15 09","35987","48"
"2017-05-15 10","103120","37"
"2017-05-12 23","107346","36"
"2016-08-25 12","3055","34"
"2016-08-25 15","5615","33"
"2016-12-23 00","73020","31"
"2017-01-14 22","35987","29"
"2016-08-25 13","7155","28"
"2016-08-25 14","76","27"
"2016-09-07 20","21","27"
"2017-01-14 19","35987","27"
"2017-05-09 21","83947","27"
"2017-05-12 12","20442","27"
"2017-01-19 12","31831","26"
"2017-01-11 20","165","25"
"2016-12-31 00","20442","25"
"2016-09-07 20","62","24"
"2016-12-19 09","20442","23"
"2017-01-15 11","35987","22"
"2016-06-16 08","7155","21"
"2017-05-15 10","156696","21"
"2017-04-21 21","107346","21"
"2016-09-07 20","3311","20"
"2017-01-12 12","85184","20"
"2017-01-17 13","31831","20"
"2016-12-31 00","31831","20"
"2017-03-25 00","86463","20"
"2017-05-15 10","31831","20"
"2016-12-31 00","70927","19"
"2016-08-24 22","5615","19"
"2016-08-25 13","3055","19"
"2017-02-27 21","237","19"
"2017-05-08 23","107346","19"
"2016-09-18 12","165","18"
"2017-04-23 23","266887","18"
"2016-12-03 15","70927","18"
"2016-11-24 15","165","17"
"2016-12-23 00","31831","17"
"2016-12-23 00","70927","17"
"2016-12-28 21","47755","17"
"2016-12-31 00","55962","17"
"2017-05-13 10","293623","17"
"2016-08-25 15","3055","17"
"2017-01-14 17","73198","17"
"2017-01-14 21","35987","17"
"2017-01-20 19","111390","16"
"2016-11-30 14","165","16"
"2016-12-03 14","19575","16"
"2017-01-03 21","165","16"
"2017-04-05 14","138658","16"
"2017-03-11 12","90485","15"
"2017-05-12 11","37078","15"
"2016-07-07 11","1568","15"
"2016-08-25 13","3311","15"
"2016-11-16 17","165","15"
"2016-06-26 15","15627","14"
"2016-08-25 14","158","14"
"2016-08-30 11","10872","14"
"2016-09-13 07","165","14"
"2017-01-15 22","35987","14"
"2017-01-19 07","31831","14"
"2017-04-20 22","126268","14"
"2017-04-24 22","107346","14"
"2017-04-15 23","107346","14"
