orderid,subid,merid
"860427","876585","409"
"860427","876586","655"
"860428","876587","338"
"860428","876588","528"
"860428","876589","642"
"860428","876590","660"
"860429","876591","354"
"860429","876592","573"
"860429","876593","625"
"860430","876594","528"
"860431","876595","392"
"860431","876596","549"
"860431","876597","574"
"860431","876598","610"
"860431","876599","647"
"860431","876600","657"
"860432","876601","573"
"860433","876602","338"
"860433","876603","590"
"860433","876604","633"
"860433","876605","656"
"860434","876606","427"
"860434","876607","549"
"860434","876608","563"
"860434","876609","595"
"860434","876610","630"
"860434","876611","636"
"860435","876612","338"
"860435","876613","450"
"860435","876615","506"
"860435","876617","511"
"860435","876619","566"
"860435","876621","651"
"860435","876623","660"
"860436","876614","385"
"860436","876616","441"
"860436","876618","533"
"860436","876620","552"
"860436","876622","634"
"860437","876624","492"
"860437","876625","506"
"860437","876626","534"
"860437","876627","549"
"860437","876628","629"
"860437","876629","634"
"860438","876630","338"
"860438","876631","528"
"860438","876632","549"
"860438","876633","573"
"860439","876634","450"
"860439","876635","649"
"860440","876636","424"
"860440","876637","375"
"860440","876638","533"
"860440","876639","595"
"860441","876640","623"
"860442","876641","338"
"860442","876642","476"
"860442","876643","506"
"860442","876644","528"
"860442","876645","629"
"860442","876646","635"
"860442","876647","651"
"860443","876648","392"
"860443","876649","492"
"860443","876650","512"
"860443","876651","528"
"860443","876652","480"
"860443","876653","623"
"860443","876654","595"
"860444","876655","625"
"860444","876656","633"
"860444","876657","655"
"860444","876658","660"
"860445","876659","348"
"860445","876660","354"
"860445","876661","385"
"860445","876662","435"
"860445","876663","506"
"860445","876664","513"
"860445","876665","557"
"860446","876666","338"
"860446","876667","392"
"860446","876668","492"
"860446","876669","528"
"860446","876670","635"
"860446","876671","660"
"860447","876672","635"
"860447","876673","635"
"860447","876674","655"
"860447","876675","656"
"860448","876676","392"
"860448","876677","503"
"860448","876678","512"
"860448","876679","513"
"860448","876680","574"
"860448","876681","651"
"860448","876682","660"
"860449","876683","438"
"860449","876684","492"
"860449","876685","563"
"860449","876686","590"
"860449","876687","647"
"860449","876688","657"
"860450","876689","636"
"860451","876690","338"
"860451","876691","375"
"860451","876692","528"
"860451","876693","533"
"860451","876694","563"
"860452","876695","511"
"860452","876696","573"
"860452","876697","603"
"860452","876698","657"
"860452","876699","660"
"860453","876700","385"
"860453","876708","338"
"860453","876709","642"
"860453","876710","647"
"860453","876711","652"
"860455","876712","647"
"860457","876716","610"
"860458","876717","528"
"860458","876718","610"
"860458","876719","595"
"860458","876720","646"
"860458","876721","651"
"860458","876722","657"
"860458","876723","658"
"860459","876724","348"
"860459","876725","485"
"860459","876726","514"
"860459","876727","634"
"860459","876728","647"
"860460","876729","511"
"860460","876730","549"
"860460","876731","569"
"860460","876732","652"
"860461","876733","492"
"860461","876734","375"
"860461","876735","595"
"860461","876736","660"
"860462","876737","655"
"860462","876738","657"
"860463","876739","446"
"860463","876740","549"
"860463","876741","574"
"860463","876742","574"
"860463","876743","577"
"860463","876744","595"
"860465","876749","466"
"860465","876750","651"
"860465","876751","652"
"860465","876752","660"
"860466","876753","573"
"860467","876754","616"
"860467","876755","610"
"860468","876756","427"
"860468","876757","506"
"860468","876758","514"
"860468","876759","552"
"860468","876760","534"
"860468","876761","633"
"860468","876762","642"
"860468","876763","653"
"860469","876764","655"
"860470","876765","502"
"860470","876766","552"
"860470","876767","314"
"860470","876768","647"
"860472","876770","647"
"860473","876771","557"
"860473","876772","655"
"860474","876773","435"
"860475","876774","338"
"860475","876775","392"
"860475","876776","506"
"860475","876777","552"
"860475","876778","610"
"860475","876779","595"
"860475","876780","630"
"860476","876781","385"
"860476","876782","528"
"860476","876783","577"
"860476","876784","651"
"860476","876785","652"
"860476","876786","657"
"860478","876793","630"
"860478","876794","657"
"860478","876795","660"
"860479","876796","514"
"860479","876797","572"
"860479","876798","633"
"860479","876799","656"
"860480","876800","573"
"860481","876801","462"
"860481","876802","492"
"860481","876803","503"
"860481","876804","573"
"860481","876805","610"
"860482","876806","338"
"860482","876807","502"
"860482","876808","633"
"860483","876809","506"
"860483","876810","514"
"860483","876811","533"
"860483","876812","610"
"860483","876813","651"
"860484","876814","338"
"860484","876815","506"
"860484","876816","506"
"860484","876817","577"
"860484","876818","610"
"860484","876819","651"
"860486","876825","564"
"860487","876826","528"
"860488","876827","314"
"860488","876828","610"
"860488","876829","582"
"860488","876830","647"
"860489","876831","512"
"860489","876832","314"
"860489","876833","573"
"860490","876834","528"
"860491","876835","314"
"860492","876836","655"
"860494","876839","528"
"860495","876840","512"
"860495","876841","565"
"860495","876842","573"
"860496","876843","514"
"860496","876844","565"
"860496","876845","577"
"860496","876846","657"
"860497","876847","557"
"860497","876848","338"
"860497","876849","625"
"860497","876850","642"
"860498","876851","435"
"860498","876852","563"
"860498","876853","565"
"860498","876854","629"
"860499","876855","385"
"860499","876856","450"
"860499","876857","539"
"860499","876858","629"
"860499","876859","466"
"860501","876866","572"
"860501","876867","573"
"860501","876868","480"
"860501","876869","595"
"860502","876870","348"
"860502","876871","514"
"860502","876872","314"
"860502","876873","577"
"860502","876874","513"
"860503","876875","314"
"860503","876876","338"
"860503","876877","652"
"860504","876878","657"
"860505","876879","480"
"860505","876880","506"
"860505","876881","533"
"860505","876882","540"
"860505","876883","549"
"860506","876884","394"
"860507","876885","573"
"860508","876886","512"
"860510","876889","492"
"860511","876890","656"
"860512","876891","533"
"860512","876892","636"
"860513","876893","503"
"860514","876894","647"
"860515","876895","480"
"860515","876896","539"
"860515","876897","552"
"860515","876898","629"
"860515","876899","660"
"860516","876900","549"
"860518","876902","630"
"860518","876903","630"
"860518","876904","657"
"860518","876905","658"
"860518","876906","660"
"860519","876907","354"
"860519","876908","534"
"860519","876909","314"
"860519","876910","657"
"860520","876911","572"
"860520","876912","655"
"860521","876913","506"
"860521","876914","506"
"860521","876915","514"
"860521","876916","511"
"860521","876917","574"
"860521","876918","574"
"860521","876919","480"
"860522","876920","476"
"860522","876921","634"
"860522","876922","647"
"860522","876923","655"
"860523","876924","642"
"860524","876925","642"
"860525","876926","338"
"860525","876927","394"
"860525","876928","462"
"860525","876929","540"
"860525","876930","590"
"860526","876931","375"
"860528","876937","314"
"860528","876938","375"
"860528","876939","512"
"860529","876940","435"
"860530","876941","634"
"860531","876942","405"
"860531","876943","435"
"860531","876944","446"
"860531","876945","338"
"860531","876946","647"
"860532","876947","512"
"860532","876948","557"
"860532","876949","660"
"860533","876950","511"
"860533","876951","514"
"860533","876952","549"
"860533","876953","574"
"860533","876954","647"
"860534","876955","427"
"860534","876956","544"
"860535","876957","657"
"860536","876958","563"
"860538","876960","646"
"860539","876961","592"
"860539","876962","592"
"860539","876963","592"
"860540","876964","595"
"860543","876968","563"
"860543","876969","634"
"860543","876970","647"
"860543","876971","652"
"860544","876972","651"
"860545","876973","441"
"860545","876974","533"
"860545","876975","552"
"860545","876976","653"
"860546","876977","610"
"860547","876978","540"
"860547","876979","549"
"860547","876980","573"
"860549","876986","385"
"860551","876988","427"
"860551","876989","610"
"860551","876990","633"
"860551","876991","655"
"860552","876992","512"
"860553","876993","573"
"860554","876994","392"
"860554","876995","502"
"860554","876996","549"
"860554","876997","563"
"860554","876998","655"
"860555","876999","502"
"860555","877000","549"
"860556","877001","314"
"860556","877002","450"
"860556","877003","647"
"860556","877004","659"
"860558","877006","348"
"860558","877007","608"
"860558","877008","634"
"860558","877009","647"
"860558","877010","652"
