id,first,last,num,total_cnt,promotion_cnt,coupon_cnt
"46","2016-08-11","2017-06-07","18","18",NULL,"13"
"257","2016-02-16","2017-06-07","12","13","2","1"
"266","2016-02-16","2017-06-05","24","31","3","1"
"283","2016-09-09","2017-06-01","23","23","9","12"
"285","2017-04-11","2017-05-26","8","8","8","5"
"286","2016-08-12","2017-06-07","11","11","1","6"
"328","2016-04-20","2017-06-07","19","19","4",NULL
"336","2017-02-25","2017-05-25","4","4","2","1"
"337","2016-02-16","2017-06-01","14","14","5","6"
"411","2016-10-25","2017-06-08","16","16","3","1"
"448","2016-04-17","2017-05-26","9","9","3","1"
"1095","2016-02-24","2017-05-30","84","86","8","35"
"1487","2017-04-22","2017-06-01","10","10","2",NULL
"1743","2016-03-08","2017-05-27","8","8",NULL,"5"
"3402","2016-03-31","2017-06-07","46","46","8","10"
"3495","2016-04-14","2017-06-05","28","28","2","6"
"3497","2016-03-31","2017-06-05","18","18","5","5"
"4158","2016-05-05","2017-06-06","32","34","3","3"
"4254","2016-06-29","2017-05-29","35","35","2","28"
"4267","2016-04-06","2017-05-26","15","15","2",NULL
"4273","2016-04-06","2017-06-02","6","6",NULL,"2"
"4433","2016-06-30","2017-06-01","22","22","5","3"
"4860","2016-09-18","2017-06-04","24","25","5","3"
"4869","2017-06-06","2017-06-06","1","1",NULL,"1"
"4887","2016-05-16","2017-06-01","16","16","4","3"
"4920","2017-05-25","2017-05-26","2","2","1","1"
"4946","2016-07-11","2017-06-07","9","9","1","2"
"4959","2016-04-13","2017-05-28","19","19","5","5"
"5034","2016-04-13","2017-06-08","64","64","3","3"
"5770","2016-04-17","2017-05-26","8","8","1","1"
"5780","2016-08-11","2017-05-28","9","9","1","1"
"5840","2016-10-10","2017-06-08","22","22","7","4"
"5852","2016-04-18","2017-05-29","21","21","4","5"
"6183","2017-05-28","2017-05-28","1","1",NULL,"1"
"6270","2016-10-09","2017-06-04","14","14","1","1"
"6311","2016-06-21","2017-06-03","20","20","2",NULL
"6356","2017-04-20","2017-05-25","5","5","2","1"
"6376","2017-03-11","2017-05-27","27","27","10","15"
"6389","2016-08-17","2017-06-02","8","9","2",NULL
"6746","2016-06-14","2017-05-25","11","11","1","1"
"6760","2016-04-25","2017-05-28","15","15","3","5"
"6907","2016-04-26","2017-06-02","32","32","2","4"
"6920","2016-04-26","2017-05-27","16","19","3","3"
"7066","2016-05-24","2017-06-05","51","51","3","5"
"7224","2016-04-28","2017-06-06","59","60","2","7"
"7262","2016-06-02","2017-05-25","7","7",NULL,NULL
"7283","2016-05-10","2017-05-28","15","15","1","11"
"7340","2016-06-30","2017-05-26","39","39","9","22"
"7472","2016-04-30","2017-06-04","50","50","4","36"
"7890","2016-05-03","2017-06-07","56","56","10","10"
"8312","2017-03-01","2017-05-26","15","16","2","13"
"8395","2016-05-05","2017-05-27","18","19","2",NULL
"9177","2016-05-09","2017-06-06","11","11","1",NULL
"9383","2016-06-16","2017-06-08","16","16",NULL,"6"
"9628","2016-07-19","2017-06-04","7","7",NULL,NULL
"9748","2016-05-14","2017-05-27","24","24",NULL,"17"
"9893","2016-05-18","2017-06-03","19","19","4",NULL
"9924","2016-05-19","2017-05-31","20","20","2","7"
"10000","2016-05-16","2017-05-25","4","4",NULL,NULL
