id,merchid,merchname,time
"64968","595","麻辣小龙虾","2017-06-23 16:43"
"112604","314","巨无霸金奇异果","2017-06-23 16:47"
"82651","492","丹东黄蚬","2017-06-23 16:52"
"65987","595","麻辣小龙虾","2017-06-23 16:53"
"167901","595","麻辣小龙虾","2017-06-23 16:55"
"161884","595","麻辣小龙虾","2017-06-23 16:57"
"194113","595","麻辣小龙虾","2017-06-23 16:58"
"161413","595","麻辣小龙虾","2017-06-23 16:59"
"161884","409","手工清真牛肉酱","2017-06-23 17:00"
"161884","476","手工面","2017-06-23 17:01"
"230704","595","麻辣小龙虾","2017-06-23 17:02"
"258438","570","砀山黄油桃","2017-06-23 17:06"
"55686","595","麻辣小龙虾","2017-06-23 17:07"
"151128","437","南极银鳕鱼(犬牙鱼)","2017-06-23 17:07"
"182168","595","麻辣小龙虾","2017-06-23 17:07"
"214463","372","六鳌红蜜薯","2017-06-23 17:10"
"150331","595","麻辣小龙虾","2017-06-23 17:11"
"290527","435","满天星百香果","2017-06-23 17:14"
"123212","595","麻辣小龙虾","2017-06-23 17:14"
"220354","595","麻辣小龙虾","2017-06-23 17:14"
"80603","372","六鳌红蜜薯","2017-06-23 17:14"
"80603","594","台农凤梨16号","2017-06-23 17:16"
"164048","595","麻辣小龙虾","2017-06-23 17:18"
"163169","595","麻辣小龙虾","2017-06-23 17:18"
"146047","595","麻辣小龙虾","2017-06-23 17:21"
"358318","595","麻辣小龙虾","2017-06-23 17:22"
"241187","435","满天星百香果","2017-06-23 17:26"
"158468","595","麻辣小龙虾","2017-06-23 17:26"
"141039","595","麻辣小龙虾","2017-06-23 17:29"
"90370","435","满天星百香果","2017-06-23 17:31"
"356335","595","麻辣小龙虾","2017-06-23 17:33"
"373389","595","麻辣小龙虾","2017-06-23 17:35"
"158468","372","六鳌红蜜薯","2017-06-23 17:36"
"290699","595","麻辣小龙虾","2017-06-23 17:36"
"378490","326","红心火龙果","2017-06-23 17:38"
"348469","435","满天星百香果","2017-06-23 17:41"
"314365","595","麻辣小龙虾","2017-06-23 17:49"
"373264","409","手工清真牛肉酱","2017-06-23 17:49"
"193959","595","麻辣小龙虾","2017-06-23 17:50"
"274152","595","麻辣小龙虾","2017-06-23 17:54"
"180351","595","麻辣小龙虾","2017-06-23 18:00"
"89042","372","六鳌红蜜薯","2017-06-23 18:00"
"131486","372","六鳌红蜜薯","2017-06-23 18:03"
"199504","595","麻辣小龙虾","2017-06-23 18:21"
"270134","595","麻辣小龙虾","2017-06-23 18:28"
"220567","326","红心火龙果","2017-06-23 18:55"
"30684","595","麻辣小龙虾","2017-06-23 19:01"
"343699","534","湖南米粉","2017-06-23 19:05"
"258865","539","风干牛肉干","2017-06-23 19:15"
"374990","595","麻辣小龙虾","2017-06-23 19:16"
"258865","485","椴树蜂蜜","2017-06-23 19:22"
"364238","595","麻辣小龙虾","2017-06-23 19:44"
"113155","595","麻辣小龙虾","2017-06-23 19:51"
"175968","595","麻辣小龙虾","2017-06-23 20:02"
"258438","549","海阳网纹蜜瓜","2017-06-23 20:02"
"245316","549","海阳网纹蜜瓜","2017-06-23 20:05"
"321444","549","海阳网纹蜜瓜","2017-06-23 20:08"
"321444","502","南非红西柚","2017-06-23 20:11"
"83217","549","海阳网纹蜜瓜","2017-06-23 20:17"
"296721","549","海阳网纹蜜瓜","2017-06-23 20:18"
"219897","372","六鳌红蜜薯","2017-06-23 20:19"
"84817","326","红心火龙果","2017-06-23 20:20"
"84348","549","海阳网纹蜜瓜","2017-06-23 20:23"
"321444","441","腊杆子烧鸡","2017-06-23 20:26"
"296721","372","六鳌红蜜薯","2017-06-23 20:29"
