id,merchid,merchname,time
"19452","608","青岛玲珑圣女果","2017-06-20 12:49"
"152374","372","六鳌红蜜薯","2017-06-20 13:09"
"19452","505","泰国椰青","2017-06-20 13:45"
"60129","437","南极银鳕鱼(犬牙鱼)","2017-06-20 13:59"
"192325","346","生态巢蜜","2017-06-20 16:19"
"32976","512","山楂优块","2017-06-20 16:49"
"201195","346","生态巢蜜","2017-06-20 16:51"
"201195","492","丹东黄蚬","2017-06-20 16:55"
"104210","544","重庆小面","2017-06-20 16:56"
"164175","499","秘鲁牛油果","2017-06-20 17:15"
"47047","534","湖南米粉","2017-06-20 17:23"
"231569","435","满天星百香果","2017-06-20 18:05"
"160033","512","山楂优块","2017-06-20 19:19"
"101171","610","海南桥沙地瓜","2017-06-20 19:19"
"241516","610","海南桥沙地瓜","2017-06-20 19:45"
"434","604","崂山蜜杏","2017-06-20 19:59"
"280964","543","美早大樱桃","2017-06-20 20:02"
"28300","604","崂山蜜杏","2017-06-20 22:30"
"191863","450","山核桃仁","2017-06-20 22:33"
"93627","528","生态鲜腐竹","2017-06-21 00:30"
"22925","616","德国皮具护理膏","2017-06-21 06:07"
"101171","604","崂山蜜杏","2017-06-21 06:16"
"91246","616","德国皮具护理膏","2017-06-21 06:19"
"155628","565","越南腰果","2017-06-21 08:26"
"199436","592","法国儿童驱蚊手环","2017-06-21 09:03"
"151354","383","福建肉燕","2017-06-21 09:05"
"51211","395","古田鲜银耳","2017-06-21 09:49"
"199305","528","生态鲜腐竹","2017-06-21 10:56"
"170831","424","沁州黄小米","2017-06-21 13:30"
"194217","499","秘鲁牛油果","2017-06-21 14:12"
"199305","394","猫山王速冻榴莲","2017-06-21 14:18"
"216743","544","重庆小面","2017-06-21 15:13"
"274413","543","美早大樱桃","2017-06-21 15:45"
"117282","512","山楂优块","2017-06-21 16:59"
"206804","570","砀山黄油桃","2017-06-21 17:37"
"324331","492","丹东黄蚬","2017-06-21 18:26"
"307980","505","泰国椰青","2017-06-21 18:55"
"304232","570","砀山黄油桃","2017-06-21 19:52"
"189169","512","山楂优块","2017-06-21 22:21"
"24087","395","古田鲜银耳","2017-06-21 22:53"
"208124","314","巨无霸金奇异果","2017-06-22 06:49"
"6266","543","美早大樱桃","2017-06-22 07:15"
"325246","528","生态鲜腐竹","2017-06-22 08:49"
"325246","577","迁西甘栗仁","2017-06-22 08:50"
"325246","512","山楂优块","2017-06-22 08:52"
"325246","610","海南桥沙地瓜","2017-06-22 08:55"
"303672","528","生态鲜腐竹","2017-06-22 08:57"
"303672","528","生态鲜腐竹","2017-06-22 08:59"
"325246","549","海阳网纹蜜瓜","2017-06-22 09:00"
"199436","528","生态鲜腐竹","2017-06-22 09:07"
"127279","517","珍珠小笼包","2017-06-22 10:53"
"74666","570","砀山黄油桃","2017-06-22 10:58"
"127279","552","进口超甜香蕉","2017-06-22 11:03"
"170831","528","生态鲜腐竹","2017-06-22 11:16"
"71613","570","砀山黄油桃","2017-06-22 12:14"
"10330","485","椴树蜂蜜","2017-06-22 12:49"
"303341","570","砀山黄油桃","2017-06-22 14:33"
"303341","375","五彩野鸡蛋","2017-06-22 14:35"
"194868","492","丹东黄蚬","2017-06-22 14:42"
"194868","405","阿根廷红虾","2017-06-22 14:43"
"194868","517","珍珠小笼包","2017-06-22 14:47"
