id,merchid,merchname,time
"36804","338","刘老汉薄皮吊瓜","2017-06-14 12:44"
"21115","338","刘老汉薄皮吊瓜","2017-06-14 12:46"
"57497","600","雷尼黄樱桃","2017-06-14 12:48"
"36748","601","黑糯玉米","2017-06-14 12:48"
"62790","544","重庆小面","2017-06-14 12:51"
"104524","476","手工面","2017-06-14 12:55"
"153757","544","重庆小面","2017-06-14 12:58"
"144529","338","刘老汉薄皮吊瓜","2017-06-14 12:58"
"158213","338","刘老汉薄皮吊瓜","2017-06-14 12:59"
"3502","395","古田鲜银耳","2017-06-14 13:01"
"69922","512","山楂优块","2017-06-14 13:01"
"150095","528","生态鲜腐竹","2017-06-14 13:01"
"36585","561","烤制香脆大花生","2017-06-14 13:04"
"203574","549","海阳网纹蜜瓜","2017-06-14 13:08"
"202473","528","生态鲜腐竹","2017-06-14 13:08"
"195331","601","黑糯玉米","2017-06-14 13:09"
"20323","505","泰国椰青","2017-06-14 13:10"
"226040","528","生态鲜腐竹","2017-06-14 13:10"
"128415","326","红心火龙果","2017-06-14 13:10"
"156981","528","生态鲜腐竹","2017-06-14 13:11"
"191956","502","南非红西柚","2017-06-14 13:11"
"218643","528","生态鲜腐竹","2017-06-14 13:11"
"186779","348","每日坚果","2017-06-14 13:12"
"230449","528","生态鲜腐竹","2017-06-14 13:12"
"182438","512","山楂优块","2017-06-14 13:13"
"241975","338","刘老汉薄皮吊瓜","2017-06-14 13:13"
"268664","528","生态鲜腐竹","2017-06-14 13:16"
"82082","549","海阳网纹蜜瓜","2017-06-14 13:16"
"303672","528","生态鲜腐竹","2017-06-14 13:18"
"291422","512","山楂优块","2017-06-14 13:18"
"97722","338","刘老汉薄皮吊瓜","2017-06-14 13:21"
"64011","512","山楂优块","2017-06-14 13:22"
"17466","528","生态鲜腐竹","2017-06-14 13:22"
"131403","601","黑糯玉米","2017-06-14 13:22"
"102719","539","风干牛肉干","2017-06-14 13:23"
"110506","577","迁西甘栗仁","2017-06-14 13:24"
"128708","395","古田鲜银耳","2017-06-14 13:24"
"64660","338","刘老汉薄皮吊瓜","2017-06-14 13:24"
"271805","502","南非红西柚","2017-06-14 13:24"
"109766","549","海阳网纹蜜瓜","2017-06-14 13:24"
"230091","338","刘老汉薄皮吊瓜","2017-06-14 13:24"
