id,merchid,merchname,time
"105300","608","青岛玲珑圣女果","2017-06-19 12:59"
"30971","526","宁波汤圆","2017-06-19 13:22"
"123650","549","海阳网纹蜜瓜","2017-06-19 15:20"
"268831","505","泰国椰青","2017-06-19 15:29"
"120672","372","六鳌红蜜薯","2017-06-19 17:04"
"128415","372","六鳌红蜜薯","2017-06-19 17:05"
"203421","372","六鳌红蜜薯","2017-06-19 17:10"
"150155","372","六鳌红蜜薯","2017-06-19 17:17"
"48946","372","六鳌红蜜薯","2017-06-19 17:20"
"184012","372","六鳌红蜜薯","2017-06-19 17:25"
"121613","372","六鳌红蜜薯","2017-06-19 17:30"
"150741","372","六鳌红蜜薯","2017-06-19 17:33"
"302482","372","六鳌红蜜薯","2017-06-19 17:34"
"152817","372","六鳌红蜜薯","2017-06-19 17:35"
"134512","372","六鳌红蜜薯","2017-06-19 17:43"
"321798","372","六鳌红蜜薯","2017-06-19 17:44"
"184012","372","六鳌红蜜薯","2017-06-19 17:45"
"241975","511","法国猪肋排","2017-06-19 17:51"
"241975","375","五彩野鸡蛋","2017-06-19 17:54"
"271212","372","六鳌红蜜薯","2017-06-19 17:55"
"271212","528","生态鲜腐竹","2017-06-19 17:58"
"241975","528","生态鲜腐竹","2017-06-19 18:01"
"161266","372","六鳌红蜜薯","2017-06-19 18:07"
"173199","514","夹心海苔","2017-06-19 18:10"
"128644","372","六鳌红蜜薯","2017-06-19 18:53"
"216103","372","六鳌红蜜薯","2017-06-19 19:11"
"158325","372","六鳌红蜜薯","2017-06-19 19:52"
"297935","514","夹心海苔","2017-06-19 20:13"
"160323","492","丹东黄蚬","2017-06-19 23:11"
"221222","485","椴树蜂蜜","2017-06-20 00:10"
"100825","543","美早大樱桃","2017-06-20 06:42"
"279770","564","多功能清洁膏","2017-06-20 09:13"
"69558","594","台农凤梨16号","2017-06-20 09:33"
"297935","372","六鳌红蜜薯","2017-06-20 09:45"
"102254","372","六鳌红蜜薯","2017-06-20 10:25"
"152259","505","泰国椰青","2017-06-20 10:25"
"165507","573","净水器替换滤芯","2017-06-20 12:00"
"159536","573","净水器替换滤芯","2017-06-20 12:02"
"323384","437","南极银鳕鱼(犬牙鱼)","2017-06-20 12:12"
"231512","372","六鳌红蜜薯","2017-06-20 12:14"
"249919","437","南极银鳕鱼(犬牙鱼)","2017-06-20 12:19"
