id,coupon_cnt
"429","1"
"434","5"
"493","1"
"1875","10"
"2169","3"
"3406","7"
"3502","13"
"4907","1"
"6275","9"
"7246","3"
"7661","2"
"7775","1"
"7815","2"
"7893","5"
"9000","18"
"10330","3"
"10692","1"
"10861","1"
"10899","23"
"11038","4"
"11105","1"
"11572","2"
"11615","3"
"11681","6"
"11742","1"
"12380","2"
"13049","6"
"14050","30"
"14245","2"
"14284","3"
"14377","1"
"14756","8"
"14863","6"
"14941","10"
"15100","1"
"15721","3"
"16569","2"
"17244","8"
"17391","5"
"17466","2"
"17653","3"
"17892","2"
"17925","1"
"17958","1"
"18229","3"
"18359","3"
"18440","2"
"18961","1"
"19122","2"
"19242","1"
"19319","3"
"19452","4"
"20286","1"
"20323","1"
"20324","6"
"20330","1"
"20557","9"
"20568","7"
"20890","1"
"21516","1"
"21828","7"
"21907","2"
"21954","4"
"22049","1"
"22355","3"
"22588","1"
"22925","14"
"22973","1"
"23094","30"
"23179","2"
"23845","5"
"23938","7"
"24334","21"
"25014","1"
"25141","10"
"26124","1"
"26395","1"
"26507","6"
"26975","1"
"27103","2"
"27645","1"
"27689","16"
"28061","2"
"28089","1"
"28300","20"
"28604","9"
"28700","13"
"28902","1"
"29067","1"
"29637","2"
"29736","5"
"29752","10"
"29856","1"
"30427","13"
"30971","2"
"31030","3"
"31088","5"
"31093","6"
"31710","1"
"32143","8"
"32193","6"
"32406","5"
"32411","2"
"32438","15"
"32449","6"
"32658","1"
"32937","15"
"32943","12"
"32947","13"
"32976","7"
"33506","1"
"33847","1"
"34325","4"
"35017","3"
"35140","1"
"35447","30"
"35709","1"
"35714","7"
"35882","1"
"36091","1"
"36178","4"
"36290","2"
"36748","1"
"36804","1"
"36832","11"
"36906","18"
"37382","1"
"37461","2"
"37548","12"
"37549","6"
"37568","1"
"37576","1"
"37620","1"
"37928","1"
"38015","4"
"38124","1"
"38188","5"
"38256","1"
"38303","1"
"38312","6"
"38700","11"
"39068","3"
"39209","1"
"39235","1"
"39286","7"
"39436","1"
"39466","10"
"39526","5"
"39537","1"
"39574","15"
"39825","1"
"39841","32"
"40158","17"
"40189","6"
"40210","3"
"40246","1"
"40369","1"
"40734","1"
"41023","3"
"41032","20"
"41147","1"
"41290","14"
"41427","5"
"41516","5"
"41585","1"
"42168","2"
"42347","10"
"42734","11"
"43407","1"
"43512","3"
"43916","2"
"43921","4"
"43942","4"
"43971","12"
"44497","11"
"44649","1"
"44836","1"
"44954","1"
"44994","2"
"45005","3"
"45172","1"
"45216","1"
"45396","5"
"45410","1"
"45472","1"
"45541","6"
"45654","6"
"46087","3"
"46116","1"
"46182","3"
"46216","12"
"46303","1"
"46375","4"
"46391","1"
"46497","2"
"46758","7"
"46841","1"
"46852","6"
"46893","1"
"47047","4"
"47132","1"
"47181","1"
"47285","13"
"48080","9"
"48349","1"
"48394","8"
"48946","1"
"48974","2"
"49199","1"
"49364","10"
"49368","4"
"49377","11"
"49681","2"
"50063","2"
"50501","2"
"50929","8"
"51211","8"
"51619","1"
"51644","2"
"52146","10"
"52290","2"
"52586","5"
"52666","1"
"52760","1"
"53263","4"
"53965","11"
"54253","2"
"54831","7"
"55024","2"
"55097","1"
"55277","1"
"55769","2"
"55836","1"
"56181","2"
"56227","6"
"56253","1"
"56682","9"
"57102","3"
"57180","1"
"57414","1"
"57497","2"
"57627","3"
"57782","2"
"58022","2"
"58424","4"
"58517","19"
"58523","5"
"58622","3"
"58730","2"
"58829","9"
"58834","3"
"58895","1"
"58988","2"
"59008","5"
"59250","1"
"59650","8"
"59652","1"
"59888","1"
"59953","1"
"60461","1"
"60509","3"
"60544","1"
"60689","11"
"60730","1"
"60895","7"
"61406","2"
"61557","1"
"61711","8"
"62086","5"
"62407","17"
"62515","7"
"62720","1"
"62815","1"
"62844","3"
"62872","9"
"62906","1"
"62951","24"
"62955","12"
"62971","1"
"63097","1"
"63299","1"
"63378","4"
"63410","5"
"63843","6"
"64608","5"
"64625","3"
"64660","6"
"64692","1"
"64809","4"
"64895","5"
"65628","1"
"65648","12"
"65738","42"
"65978","1"
"66034","1"
"66236","3"
"66350","5"
"66818","2"
"66912","4"
"66989","5"
"67002","1"
"67394","22"
"67776","6"
"68016","5"
"68248","1"
"68371","4"
"68835","3"
"69365","3"
"69503","1"
"69534","29"
"69611","1"
"70272","5"
"70415","3"
"70467","10"
"70506","2"
"70517","2"
"70702","6"
"70944","3"
"71052","4"
"71198","7"
"71224","2"
"71405","8"
"71608","2"
"71613","5"
"71633","6"
"71800","6"
"71916","4"
"72508","1"
"72662","1"
"72712","1"
"72873","3"
"72914","2"
"72988","1"
"73216","34"
"73422","1"
"73504","3"
"73702","1"
"74436","1"
"74636","2"
"74666","1"
"74986","2"
"75405","1"
"75476","1"
"75486","3"
"75534","3"
"75674","1"
"75687","2"
"75809","2"
"76104","1"
"76506","4"
