id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"34","2016-02-15","2017-04-09","7","34","39",NULL,NULL,"39","3823.9700"
"51","2016-01-30","2017-05-03","17","51","24","2","19.0000","21","1991.5100"
"156","2017-05-01","2017-05-01","1","156","1",NULL,NULL,"1","109.9000"
"239","2016-02-16","2017-03-25","9","239","12",NULL,NULL,"12","1097.6000"
"259","2017-04-20","2017-04-21","5","259","12","5","38.0000","3","261.8000"
"260","2016-09-28","2017-04-20","3","260","3",NULL,NULL,"3","237.0000"
"265","2016-11-05","2017-05-14","18","265","19","2","42.0000","17","1540.5000"
"270","2016-11-28","2017-04-19","16","270","16","3","20.0000","13","1116.6000"
"271","2016-04-07","2017-04-13","3","271","4","1","20.0000","2","168.0000"
"287","2016-09-28","2017-04-22","4","287","4","1","6.0000","3","270.7000"
"294","2016-09-23","2017-04-19","3","294","3",NULL,NULL,"3","163.9000"
"301","2016-08-25","2017-05-13","14","301","25","3","31.0000","18","1640.0000"
"302","2016-02-16","2017-05-08","7","302","7",NULL,NULL,"7","669.9000"
"311","2016-02-16","2017-05-14","10","311","13","1","8.0000","11","721.9000"
"316","2016-02-16","2017-05-12","52","316","56","8","132.0000","47","4420.3000"
"344","2016-07-05","2017-05-05","3","344","4",NULL,NULL,"3","420.7000"
"348","2017-01-11","2017-05-12","6","348","7","3","26.0000","3","256.9000"
"353","2016-04-12","2017-05-12","13","353","20",NULL,NULL,"20","1490.7000"
"376","2016-10-08","2017-04-17","15","376","18","2","11.0000","16","1296.6000"
"395","2016-08-02","2017-05-08","6","395","6","1","10.0000","5","271.8000"
"398","2017-03-21","2017-04-23","2","398","2",NULL,NULL,"2","154.9000"
"429","2016-02-16","2017-03-16","4","429","5",NULL,NULL,"5","384.0000"
"431","2016-08-09","2017-05-12","8","431","18","2","12.0000","16","1367.3000"
"434","2016-05-16","2017-05-08","21","434","22","2","22.0000","20","1691.2000"
"437","2017-04-16","2017-04-16","1","437","1",NULL,NULL,"1","99.9000"
"447","2016-08-29","2017-04-28","7","447","17","3","35.0000","12","782.0000"
"493","2016-06-21","2017-04-11","3","493","3",NULL,NULL,"3","336.0000"
"554","2016-02-24","2017-03-23","5","554","12","1","6.0000","11","868.0000"
"614","2017-03-07","2017-03-19","2","614","3","1","6.0000","2","131.8000"
"1059","2016-03-12","2017-03-28","8","1059","11",NULL,NULL,"10","799.0000"
"1298","2016-04-18","2017-04-01","7","1298","7",NULL,NULL,"7","485.7000"
"1360","2017-03-20","2017-03-20","1","1360","2",NULL,NULL,"2","198.0000"
"1437","2016-04-13","2017-05-07","16","1437","27",NULL,NULL,"27","2161.0000"
"1566","2016-09-28","2017-04-26","2","1566","2",NULL,NULL,"2","137.9000"
"1580","2016-03-01","2017-05-04","3","1580","3","1","13.0000","2","187.0000"
"1620","2017-03-22","2017-03-22","1","1620","1",NULL,NULL,"1","79.0000"
"1647","2016-03-03","2017-05-03","6","1647","6",NULL,NULL,"6","433.9000"
"1697","2016-03-05","2017-05-07","8","1697","10",NULL,NULL,"10","845.9000"
"1738","2016-11-07","2017-05-13","3","1738","4","2","23.0000","2","138.9000"
"1827","2016-03-10","2017-04-22","11","1827","19","1","7.0000","17","1384.7000"
"1840","2016-04-01","2017-05-10","8","1840","15",NULL,NULL,"15","1415.9000"
"1875","2016-07-04","2017-04-22","14","1875","27","1","20.0000","26","2725.6000"
"1934","2016-08-14","2017-04-11","12","1934","16","1","5.0000","14","1201.8000"
"1941","2016-11-30","2017-04-01","2","1941","2",NULL,NULL,"2","164.0000"
"2011","2016-03-19","2017-03-29","3","2011","4",NULL,NULL,"4","282.0000"
"2169","2016-03-19","2017-03-29","40","2169","46",NULL,NULL,"46","3796.0000"
"3398","2016-04-04","2017-05-08","59","3398","64","3","25.0000","61","5448.1000"
"3406","2016-04-14","2017-04-14","19","3406","24","2","28.0000","21","2279.4000"
"3452","2017-04-16","2017-04-22","3","3452","4","1","13.0000","3","285.9000"
"3454","2016-04-04","2017-03-16","6","3454","6",NULL,NULL,"6","542.0000"
"3455","2016-04-04","2017-03-14","3","3455","3",NULL,NULL,"3","245.0000"
"3474","2016-04-18","2017-05-07","15","3474","27","2","20.0000","25","2190.9000"
"3502","2016-03-31","2017-04-16","17","3502","19",NULL,NULL,"19","1741.4000"
"3504","2017-03-16","2017-03-16","1","3504","1",NULL,NULL,"1","98.0000"
"3550","2016-05-02","2017-05-13","17","3550","25",NULL,NULL,"25","1840.4000"
"3676","2017-04-27","2017-04-27","1","3676","2",NULL,NULL,"2","247.8000"
"3700","2017-04-29","2017-04-29","1","3700","1",NULL,NULL,"1","69.0000"
"3847","2016-04-03","2017-03-29","4","3847","6",NULL,NULL,"6","444.0000"
"3984","2017-03-14","2017-03-14","1","3984","2",NULL,NULL,"2","127.0000"
"3987","2016-04-04","2017-04-19","20","3987","20","3","33.0000","17","1446.6000"
"3989","2016-04-04","2017-03-29","16","3989","20",NULL,NULL,"20","1583.8000"
"4003","2016-04-14","2017-04-26","36","4003","51","1","20.0000","49","5241.8000"
"4006","2016-04-05","2017-03-17","9","4006","11",NULL,NULL,"11","1068.8000"
"4123","2016-04-06","2017-03-29","6","4123","6",NULL,NULL,"6","434.0000"
