id,first,last,num,zxs,tag
"46","2016-08-11","2017-06-07","18","3309","192"
"55","2016-02-19","2017-05-19","7","3309","192"
"259","2017-04-20","2017-04-21","5","237","190"
"260","2016-09-28","2017-04-20","3","237","190"
"266","2016-02-16","2017-06-05","24","237","190"
"270","2016-11-28","2017-04-19","16","237","190"
"271","2016-04-07","2017-04-13","3","237","190"
"285","2017-04-11","2017-05-26","8","237","190"
"286","2016-08-12","2017-06-07","11","237","190"
"294","2016-09-23","2017-04-19","3","237","190"
"295","2016-06-21","2017-05-21","17","237","190"
"305","2017-05-19","2017-05-19","1","170806","190"
"328","2016-04-20","2017-06-07","19","237","190"
"336","2017-02-25","2017-05-25","4","237","190"
"348","2017-01-11","2017-05-12","6","237","190"
"353","2016-04-12","2017-05-12","13","237","190"
"395","2016-08-02","2017-05-08","6","237","190"
"398","2017-03-21","2017-04-23","2","237","190"
"411","2016-10-25","2017-06-08","16","237","190"
"431","2016-08-09","2017-05-12","8","237","190"
"448","2016-04-17","2017-05-26","9","237","190"
"1095","2016-02-24","2017-05-30","84","8634","190"
"1487","2017-04-22","2017-06-01","10","9698","190"
"1580","2016-03-01","2017-05-04","3","1568","190"
"1697","2016-03-05","2017-05-07","8","3309","192"
"1743","2016-03-08","2017-05-27","8","1472","190"
"1827","2016-03-10","2017-04-22","11","1472","190"
"1863","2016-03-15","2017-06-09","35","1472","190"
"1934","2016-08-14","2017-04-11","12","237","190"
"3406","2016-04-14","2017-04-14","19","3398","192"
"3409","2016-05-18","2017-05-21","9","3398","192"
"3452","2017-04-16","2017-04-22","3","139056","190"
"3474","2016-04-18","2017-05-07","15","3398","192"
"3495","2016-04-14","2017-06-05","28","3398","192"
"3497","2016-03-31","2017-06-05","18","3398","192"
"3550","2016-05-02","2017-05-13","17","1472","190"
"3676","2017-04-27","2017-04-27","1","3311","190"
"3700","2017-04-29","2017-04-29","1","100521","190"
"3883","2016-04-04","2017-05-18","9","2169","192"
"3909","2016-04-04","2017-05-17","19","59","190"
"3987","2016-04-04","2017-04-19","20","3398","192"
"4003","2016-04-14","2017-04-26","36","3398","192"
"4115","2016-04-05","2017-05-21","8","3398","192"
"4158","2016-05-05","2017-06-06","32","1472","190"
"4256","2016-04-13","2017-05-07","54","237","190"
"4264","2016-08-16","2017-05-22","6","23938","192"
"4267","2016-04-06","2017-05-26","15","237","190"
"4273","2016-04-06","2017-06-02","6","237","190"
"4280","2016-08-25","2017-05-14","10","237","190"
"4288","2016-04-20","2017-05-12","8","237","190"
"4306","2016-09-09","2017-05-08","7","237","190"
"4309","2016-04-12","2017-04-16","17","237","190"
"4317","2016-04-06","2017-05-09","13","237","190"
"4323","2017-04-20","2017-04-20","1","33281","190"
"4326","2016-07-04","2017-05-07","44","237","190"
"4327","2017-04-05","2017-05-08","2","237","190"
"4361","2016-04-13","2017-05-03","8","237","190"
"4433","2016-06-30","2017-06-01","22","237","190"
"4475","2016-08-23","2017-04-21","2","237","190"
"4719","2016-04-14","2017-05-21","12","3398","192"
"4761","2016-08-26","2017-05-13","17","320","190"
"4799","2017-04-15","2017-05-08","2","156981","192"
"4856","2016-04-12","2017-04-19","13","237","190"
"4860","2016-09-18","2017-06-04","24","237","190"
"4869","2017-06-06","2017-06-06","1","237","190"
"4878","2016-04-12","2017-04-22","13","237","190"
"4887","2016-05-16","2017-06-01","16","237","190"
"4896","2016-04-12","2017-05-15","13","237","190"
"4901","2016-04-12","2017-05-21","5","237","190"
"4914","2016-04-13","2017-06-09","14","237","190"
"4920","2017-05-25","2017-05-26","2","237","190"
"4941","2016-04-13","2017-06-09","13","237","190"
"4943","2016-06-20","2017-05-06","33","237","190"
"4946","2016-07-11","2017-06-07","9","237","190"
"4956","2016-11-07","2017-05-14","17","237","190"
"4986","2016-09-05","2017-05-09","10","237","190"
"5038","2017-05-05","2017-05-05","1","237","190"
"5099","2016-04-14","2017-05-21","3","3398","192"
"5152","2016-04-14","2017-04-14","10","3398","192"
"5172","2016-04-14","2017-05-19","10","3398","192"
"5350","2016-09-16","2017-06-09","4","5356","192"
"5442","2016-10-14","2017-05-07","14","8634","190"
"5729","2017-05-16","2017-05-16","1","5130","192"
"5774","2016-04-17","2017-05-10","9","237","190"
"5787","2017-04-23","2017-04-23","1","289","190"
"5791","2017-04-10","2017-04-10","1","237","190"
"5809","2017-04-11","2017-04-11","1","237","190"
"5836","2017-04-26","2017-04-26","1","237","190"
"5921","2017-04-27","2017-04-27","1","3398","192"
"6084","2016-04-19","2017-05-16","5","5130","192"
"6126","2016-04-19","2017-05-07","4","5130","192"
"6183","2017-05-28","2017-05-28","1","5828","190"
"6291","2016-04-20","2017-05-04","4","237","190"
"6294","2016-12-07","2017-04-19","4","237","190"
"6310","2016-10-11","2017-06-09","4","237","190"
"6311","2016-06-21","2017-06-03","20","237","190"
"6337","2016-04-20","2017-05-07","8","237","190"
"6389","2016-08-17","2017-06-02","8","237","190"
"6469","2017-03-08","2017-05-22","5","29656","190"
"6724","2016-04-24","2017-04-20","88","1472","190"
"6746","2016-06-14","2017-05-25","11","13257","190"
"6760","2016-04-25","2017-05-28","15","1472","190"
"6764","2016-05-19","2017-05-08","34","1568","190"
"6793","2016-05-15","2017-04-19","10","1472","190"
"6903","2016-04-26","2017-05-11","6","59","190"
"6907","2016-04-26","2017-06-02","32","59","190"
"6920","2016-04-26","2017-05-27","16","83","193"
"7262","2016-06-02","2017-05-25","7","59","190"
"7283","2016-05-10","2017-05-28","15","1472","190"
"7292","2016-04-28","2017-04-17","2","1472","190"
"7403","2016-06-18","2017-05-07","8","8634","190"
"7472","2016-04-30","2017-06-04","50","8634","190"
"7517","2017-03-18","2017-04-27","5","116959","190"
