id,first,last,num,leaderid,statustag
"20","2016-01-29","2016-03-23","18","8634","190"
"101","2016-02-17","2016-03-11","14","8634","190"
"140","2016-04-01","2016-04-25","2","3309","193"
"171","2016-02-17","2016-05-10","3","3309","193"
"176","2016-03-03","2016-03-31","9","8634","190"
"239","2016-02-16","2017-03-25","9","237","190"
"278","2016-09-28","2016-09-28","1","237","190"
"280","2016-04-06","2017-03-03","3","237","190"
"300","2016-06-12","2017-02-21","19","237","190"
"308","2016-02-16","2016-12-05","3","33281","190"
"310","2016-07-11","2016-07-13","3","237","190"
"326","2016-04-06","2016-04-06","1","237","190"
"343","2016-04-07","2016-04-07","1","3398","192"
"388","2016-04-13","2016-04-13","1","237","190"
"394","2016-09-11","2016-09-11","1","237","190"
"404","2016-04-17","2016-04-19","2","237","190"
"407","2016-09-28","2016-09-28","1","237","190"
"420","2016-04-02","2016-05-24","3","3311","190"
"421","2016-04-01","2016-12-14","44","3311","190"
"424","2016-07-05","2016-07-05","1","237","190"
"429","2016-02-16","2017-03-16","4","3309","193"
"441","2016-04-12","2016-09-25","7","237","190"
"445","2016-04-17","2016-11-25","4","237","190"
"467","2016-07-12","2016-07-12","2","3311","190"
"540","2017-03-02","2017-03-07","4","3309","193"
"565","2016-02-18","2017-03-08","7","3309","193"
"614","2017-03-07","2017-03-19","2","3309","193"
"699","2016-04-27","2016-04-27","1","83","193"
"1004","2016-04-05","2016-11-23","2","8634","190"
"1059","2016-03-12","2017-03-28","8","3309","193"
"1298","2016-04-18","2017-04-01","7","3309","193"
"1304","2017-02-23","2017-02-23","1","3309","193"
"1361","2016-04-28","2016-04-28","1","3309","193"
"1439","2016-06-11","2016-06-11","1","3309","193"
"1480","2016-12-22","2016-12-22","1","1472","190"
"1485","2016-09-27","2016-11-07","2","1472","190"
"1491","2016-03-01","2016-10-19","5","1568","190"
"1555","2016-05-25","2016-09-19","7","1568","190"
"1578","2016-03-01","2017-01-03","8","1472","190"
"1627","2016-03-02","2016-05-15","2","1568","190"
"1635","2016-03-03","2016-11-18","3","1568","190"
"1637","2016-03-03","2016-06-18","3","1568","190"
"1677","2016-03-04","2016-04-06","6","3309","193"
"1690","2016-07-05","2016-12-17","5","59","190"
"1698","2016-03-05","2016-09-13","4","3309","193"
"1722","2016-06-18","2016-06-18","1","3309","193"
"1742","2016-04-24","2017-02-27","5","1472","190"
"1744","2016-03-08","2016-11-25","4","6705","190"
"1791","2016-03-08","2017-01-05","2","1472","190"
"1804","2016-03-08","2017-01-05","8","3309","193"
"1810","2016-03-08","2016-10-27","3","1472","190"
"1941","2016-11-30","2017-04-01","2","28","193"
"1945","2016-05-05","2016-08-14","4","59","190"
"1954","2016-04-30","2016-04-30","1","237","190"
"2011","2016-03-19","2017-03-29","3","2169","193"
"2047","2016-08-29","2016-10-16","4","21968","190"
"3050","2016-12-21","2017-01-06","3","3309","193"
"3067","2016-04-12","2016-04-12","1","2169","193"
"3242","2016-04-04","2016-04-12","3","2169","193"
"3277","2016-04-04","2016-06-21","26","2169","193"
"3337","2016-09-15","2017-01-05","4","59","190"
