id,zxs,orders,days_range,frequency
"21","8634","44","530","12.0455"
"22","22","58","547","9.4310"
"28","28","40","510","12.7500"
"34","34","2","419","209.5000"
"40","0","1","1","1.0000"
"46","3309","8","363","45.3750"
"51","51","11","538","48.9091"
"55","3309","2","455","227.5000"
"59","59","102","507","4.9706"
"62","62","13","407","31.3077"
"70","70","25","472","18.8800"
"76","76","6","354","59.0000"
"83","83","82","533","6.5000"
"101","8634","2","23","11.5000"
"156","156","1","0","0.0000"
"158","158","116","423","3.6466"
"160","160","18","82","4.5556"
"161","1754","3","462","154.0000"
"165","165","20","522","26.1000"
"237","237","251","490","1.9522"
"239","237","3","506","168.6667"
"248","237","47","355","7.5532"
"256","237","33","373","11.3030"
"257","237","12","528","44.0000"
"258","237","6","347","57.8333"
"259","237","16","102","6.3750"
"260","237","2","204","102.0000"
"261","261","47","355","7.5532"
"264","237","9","86","9.5556"
"265","237","9","254","28.2222"
"266","237","10","475","47.5000"
"267","237","16","363","22.6875"
"268","237","6","51","8.5000"
"269","237","5","97","19.4000"
"270","237","10","231","23.1000"
"271","237","2","371","185.5000"
"273","273","91","489","5.3736"
"275","237","21","529","25.1905"
"276","237","24","341","14.2083"
"279","237","28","483","17.2500"
"280","237","1","331","331.0000"
"281","237","13","461","35.4615"
"282","282","83","480","5.7831"
"283","237","18","336","18.6667"
"284","237","114","428","3.7544"
"285","237","9","45","5.0000"
"286","286","2","299","149.5000"
"287","237","8","306","38.2500"
"289","289","73","477","6.5342"
"290","237","267","542","2.0300"
"291","237","31","336","10.8387"
"294","237","1","208","208.0000"
"295","237","13","415","31.9231"
"297","19921","4","534","133.5000"
"301","301","16","261","16.3125"
"302","302","19","517","27.2105"
"305","170806","1","0","0.0000"
"306","237","25","499","19.9600"
"309","237","71","478","6.7324"
"311","237","7","529","75.5714"
"312","237","41","424","10.3415"
"313","237","45","386","8.5778"
"314","237","1","0","0.0000"
"315","237","63","511","8.1111"
"316","316","21","532","25.3333"
"317","237","52","417","8.0192"
"320","320","44","491","11.1591"
"323","237","12","369","30.7500"
"324","324","8","300","37.5000"
"328","237","10","413","41.3000"
"336","237","5","143","28.6000"
"337","237","9","529","58.7778"
"338","237","100","407","4.0700"
"341","237","2","289","144.5000"
"342","342","11","479","43.5455"
"344","237","3","346","115.3333"
"345","345","15","104","6.9333"
"347","237","29","482","16.6207"
"348","348","4","121","30.2500"
"349","349","49","348","7.1020"
"353","237","5","395","79.0000"
"355","237","58","514","8.8621"
"356","237","87","479","5.5057"
"358","237","35","479","13.6857"
"364","364","54","421","7.7963"
"367","367","30","291","9.7000"
"368","368","166","479","2.8855"
"376","376","14","301","21.5000"
"378","378","33","369","11.1818"
"379","237","23","301","13.0870"
"383","54775","2","229","114.5000"
"392","237","54","487","9.0185"
"395","237","1","279","279.0000"
"398","237","2","33","16.5000"
"410","237","1","0","0.0000"
"411","237","27","277","10.2593"
"419","419","5","193","38.6000"
"427","427","106","479","4.5189"
"429","3309","2","394","197.0000"
"430","430","218","491","2.2523"
"431","237","17","276","16.2353"
"432","237","82","351","4.2805"
"434","237","21","450","21.4286"
"435","435","26","392","15.0769"
"437","237","3","61","20.3333"
"438","237","32","478","14.9375"
"446","237","11","323","29.3636"
"447","237","22","325","14.7727"
"448","237","6","404","67.3333"
"455","301636","1",NULL,NULL
"493","17095","3","358","119.3333"
"540","3309","6","5","0.8333"
"554","0","3","393","131.0000"
"559","0","1","56","56.0000"
"565","0","3","384","128.0000"
"614","142966","2","12","6.0000"
"684","0","1","463","463.0000"
"753","0","1",NULL,NULL
"762","0","1","0","0.0000"
"841","0","3","302","100.6667"
"900","900","1","0","0.0000"
"910","21258","13","423","32.5385"
"1059","3309","10","482","48.2000"
"1095","8634","27","532","19.7037"
"1237","0","1","499","499.0000"
"1298","3309","1","348","348.0000"
"1304","3309","1","133","133.0000"
"1360","0","2","0","0.0000"
"1437","1754","2","389","194.5000"
"1472","1472","129","473","3.6667"
"1486","1472","7","471","67.2857"
"1487","9698","11","40","3.6364"
"1489","1472","1","0","0.0000"
"1491","1568","1","232","232.0000"
"1566","0","1","210","210.0000"
"1567","1567","5","15","3.0000"
"1568","1568","198","451","2.2778"
"1577","3309","27","436","16.1481"
"1578","1472","2","504","252.0000"
"1579","1472","10","525","52.5000"
"1580","1568","1","429","429.0000"
"1610","1472","61","446","7.3115"
"1612","1612","1","0","0.0000"
"1620","554","1","0","0.0000"
"1647","1568","5","470","94.0000"
"1688","59","23","359","15.6087"
"1692","59","4","27","6.7500"
"1697","3309","1","428","428.0000"
"1710","1754","1","0","0.0000"
"1738","1738","2","187","93.5000"
"1743","1472","4","510","127.5000"
"1753","1472","9","496","55.1111"
"1754","1754","1","344","344.0000"
"1827","1472","3","408","136.0000"
"1840","554","4","404","101.0000"
"1863","1472","12","513","42.7500"
"1875","158","3","346","115.3333"
"1915","59","45","426","9.4667"
"1934","237","3","240","80.0000"
"1941","28","1","122","122.0000"
"2011","2169","1","375","375.0000"
"2015","8634","20","466","23.3000"
"2039","3309","1","462","462.0000"
"2067","1472","9","339","37.6667"
"2169","2169","2","375","187.5000"
"3209","70","1",NULL,NULL
"3311","3311","118","494","4.1864"
"3339","59","56","452","8.0714"
"3398","3398","17","496","29.1765"
"3402","3398","25","494","19.7600"
"3404","3398","3","440","146.6667"
"3406","3398","6","365","60.8333"
"3407","3407","14","381","27.2143"
"3408","3408","26","469","18.0385"
"3409","3398","2","368","184.0000"
"3413","3398","1","460","460.0000"
"3446","3398","1","328","328.0000"
"3447","3398","1","450","450.0000"
"3452","139056","4","6","1.5000"
"3454","3398","1","346","346.0000"
"3455","3398","2","344","172.0000"
"3474","3398","2","384","192.0000"
"3495","3398","6","417","69.5000"
"3496","3398","22","122","5.5455"
"3497","3398","6","431","71.8333"
"3502","3398","4","440","110.0000"
"3504","3398","1","0","0.0000"
"3539","324680","11","67","6.0909"
"3550","1472","7","376","53.7143"
"3676","3311","2","0","0.0000"
"3700","100521","1","0","0.0000"
"3823","3398","1","332","332.0000"
"3847","2169","3","360","120.0000"
"3883","2169","8","409","51.1250"
"3886","2169","1","459","459.0000"
"3909","59","8","408","51.0000"
"3984","3398","1","149","149.0000"
"3987","3398","3","380","126.6667"
"3988","3398","2","404","202.0000"
"3989","3398","9","359","39.8889"
"4000","3398","2","342","171.0000"
"4003","3398","9","377","41.8889"
"4006","3398","2","346","173.0000"
"4032","3398","1",NULL,NULL
"4115","3398","1","411","411.0000"
"4123","2169","2","357","178.5000"
"4128","8634","15","418","27.8667"
"4135","59","16","480","30.0000"
"4158","1472","21","451","21.4762"
"4194","59","80","489","6.1125"
"4196","59","7","480","68.5714"
"4213","4213","1","333","333.0000"
"4219","4219","1","331","331.0000"
"4234","4234","22","463","21.0455"
"4245","237","18","488","27.1111"
"4247","237","1","352","352.0000"
