leader_id,rank,first_second_level,first_order,dateline,new_users,all_users,sum_orders,sum_suborders,distinct_order_customer,last_three_months,size_of_group
0,1,2,0000-00-00,1/1/70,196,427982,584,597,378,5620,1
333139,4,1,6/13/17,6/12/17,40,738,270,333,180,749,4
237,7,1,2/16/16,2/16/16,9,1487,225,300,146,841,2
19464,6,2,8/1/16,8/1/16,5,966,198,262,111,577,7
430,5,2,9/23/16,9/23/16,3,417,131,174,71,292,28
81560,6,1,3/4/17,3/3/17,0,620,149,172,81,502,11
20442,7,1,7/13/16,7/1/16,4,1264,134,169,75,613,5
105020,4,1,5/22/17,5/19/17,27,430,121,151,87,446,13
8634,5,1,6/15/16,6/16/16,2,717,95,136,56,332,21
145945,5,1,5/19/17,5/19/17,12,445,97,132,64,457,12
133686,5,1,5/15/17,5/15/17,1,238,100,132,63,255,32
135884,5,2,2/26/17,2/25/17,12,376,101,124,62,340,18
145007,5,1,4/25/17,4/25/17,7,486,92,123,55,471,12
38617,5,2,9/13/16,9/12/16,6,490,109,122,64,374,19
236197,2,1,6/22/17,6/21/17,31,125,102,121,52,131,67
152445,6,1,3/14/17,3/14/17,2,614,94,120,62,455,12
89159,5,1,5/1/17,5/1/17,13,289,83,118,59,296,25
27980,5,2,12/26/16,12/23/16,7,440,87,110,64,347,18
454582,1,1,7/5/17,7/5/17,21,250,99,109,44,255,32
294662,4,1,5/10/17,5/10/17,8,181,79,109,45,187,47
27997,5,1,8/9/16,11/23/16,5,367,91,105,41,208,48
20492,5,2,3/11/17,3/10/17,4,246,91,98,46,236,40
144063,5,1,3/10/17,4/20/17,3,272,65,97,26,222,43
134977,4,1,4/12/17,4/12/17,18,195,86,96,50,192,46
381307,4,1,6/1/17,6/1/17,2,156,59,94,36,159,54
57580,6,1,10/27/16,11/23/16,1,581,80,93,42,333,21
136788,4,1,3/31/17,3/30/17,1,118,74,91,22,111,92
144536,5,1,3/27/17,3/27/17,3,245,63,88,36,191,46
24740,5,2,2/26/17,2/24/17,3,332,55,87,31,254,33
281454,5,1,5/4/17,5/3/17,6,265,79,86,49,285,27
133840,5,2,2/24/17,2/24/17,3,289,66,86,42,247,38
96114,5,1,12/16/16,12/16/16,3,454,69,83,34,301,26
35987,6,2,8/23/16,8/23/16,1,750,68,83,50,423,15
120770,4,1,3/17/17,3/16/17,0,176,64,83,31,150,59
11770,5,2,7/15/16,7/15/16,3,372,63,82,37,187,47
28948,5,2,8/3/16,8/2/16,3,353,57,80,40,186,47
270083,4,1,4/25/17,4/25/17,3,204,59,76,27,201,49
171026,5,1,3/24/17,3/24/17,7,503,64,73,49,390,17
129752,5,2,3/6/17,3/4/17,6,350,64,72,45,252,34
1568,6,1,5/19/16,5/19/16,1,568,51,72,31,262,30
124016,5,2,2/22/17,2/22/17,4,314,55,71,36,246,39
37447,5,2,8/28/16,8/28/16,9,478,52,69,35,246,39
37073,3,1,6/22/17,6/22/17,2,97,50,69,30,106,104
103120,5,2,1/13/17,1/13/17,0,246,54,68,27,207,48
31831,6,1,10/20/16,10/17/16,7,743,61,67,39,395,16
139457,5,1,4/6/17,4/6/17,1,228,53,66,33,181,46
439275,1,1,7/18/17,7/18/17,12,35,55,66,25,30,280
131234,5,2,2/22/17,2/20/17,3,320,56,63,31,222,43
44186,4,1,10/12/16,3/15/17,6,197,53,62,30,162,52
528132,1,1,7/19/17,7/19/17,25,57,53,61,34,56,200
107346,1,1,2/28/17,2/27/17,0,1,19,61,1,1,476
36037,5,2,8/26/16,8/25/16,0,485,54,60,25,229,40
49859,4,1,4/7/17,4/7/17,1,137,47,60,22,131,67
144612,5,1,3/13/17,3/12/17,1,220,52,59,27,169,48
256007,4,1,4/25/17,4/25/17,6,171,44,59,24,175,45
315582,3,1,5/12/17,5/10/17,7,118,45,57,28,120,74
284626,2,1,5/19/17,5/19/17,5,67,45,56,18,80,129
91274,5,2,12/29/16,12/29/16,4,223,45,55,24,195,47
4285,5,1,3/22/17,3/22/17,1,219,39,54,29,212,48
73741,5,1,11/30/16,11/30/16,0,483,44,52,27,271,30
308194,4,1,5/9/17,5/8/17,5,184,39,52,28,201,49
177475,4,1,3/31/17,3/31/17,6,193,44,52,35,185,47
87983,2,1,6/22/17,6/22/17,10,101,42,51,24,126,68
500384,1,1,7/12/17,7/10/17,6,24,39,50,12,24,292
395072,1,1,7/16/17,7/14/17,9,34,34,50,16,31,258
47991,4,1,3/23/17,3/23/17,12,244,42,49,34,222,43
18081,5,1,4/18/17,4/11/17,5,360,43,49,31,357,18
375528,2,1,6/21/17,6/20/17,4,56,29,49,16,61,187
480945,1,1,7/11/17,7/11/17,15,45,43,49,26,49,231
392869,2,1,6/22/17,6/21/17,5,39,36,49,17,47,229
135225,4,1,3/24/17,5/1/17,2,180,39,48,26,152,58
50924,5,1,3/29/17,3/29/17,0,222,25,47,19,182,46
48416,4,1,5/14/17,5/14/17,5,169,40,47,27,180,46
20593,5,1,7/7/16,7/1/16,0,354,29,47,24,152,58
103520,4,1,3/3/17,3/3/17,0,156,35,46,11,98,117
82193,6,1,12/13/16,3/17/17,3,553,38,45,30,381,19
188749,1,1,7/25/17,7/25/17,18,24,39,44,19,19,344
57612,4,2,11/3/16,10/30/16,0,151,34,44,16,76,139
67413,5,1,12/24/16,12/16/16,0,186,27,43,19,107,101
