id,orders,days
"22","1","2"
"28","9","7"
"51","3","6"
"59","178","0"
"62","3","13"
"83","82","0"
"156","1","24"
"158","1","23"
"160","3","20"
"165","1","9"
"237","2248","0"
"248","12","9"
"261","48","0"
"273","29","0"
"282","27","2"
"289","17","2"
"290","57","0"
"302","3","12"
"316","124","1"
"320","144","0"
"324","1","22"
"349","13","7"
"364","16","1"
"367","10","0"
"368","329","0"
"376","25","0"
"378","19","1"
"427","24","11"
"430","922","0"
"435","29","1"
"554","4","15"
"1472","152","2"
"1568","864","0"
"1738","36","2"
"2169","3","7"
"3309","21","2"
"3311","41","1"
"3398","40","1"
"3407","15","2"
"3408","38","2"
"4234","3","28"
"4249","9","5"
"4258","37","0"
"4259","30","2"
"4270","32","2"
"4285","539","0"
"4310","142","2"
"4340","44","0"
"4350","21","2"
"4376","24","3"
"4521","50","0"
"4530","9","2"
"4858","15","1"
"4874","29","2"
"4879","227","0"
"4880","150","0"
"4884","12","1"
"4890","31","2"
"4907","21","2"
"4964","2","28"
"5130","39","2"
"5356","29","2"
"5695","4","6"
"5820","36","0"
"5828","166","1"
"6275","2","18"
"6283","17","1"
"6344","12","2"
"6705","31","3"
"6818","3","13"
"6914","14","7"
"7728","246","0"
"8050","89","0"
"8634","940","0"
"9547","346","0"
"9667","22","1"
"9698","68","0"
"9711","131","2"
"9731","16","6"
"10076","6","0"
"10099","24","1"
"10116","15","13"
"10138","28","1"
"10367","4","19"
"10474","10","9"
"10733","63","1"
"10804","33","0"
"10838","21","0"
"10872","26","1"
"11515","5","12"
"11623","449","0"
"11770","544","0"
"11853","115","2"
"11880","16","0"
"12187","36","3"
"12465","58","2"
"13068","11","4"
"13257","38","0"
"13401","153","0"
"13752","17","0"
"13922","3","9"
"14196","103","1"
"14253","66","1"
"14409","12","1"
"14804","47","1"
"14807","42","2"
"14897","112","0"
"15016","1","5"
"15434","21","3"
"15998","63","0"
"16238","15","6"
"16797","33","2"
"16875","26","4"
"16930","1","23"
"16995","149","0"
"17095","268","1"
"17174","22","3"
"17212","1","26"
"17523","16","8"
"17560","3","0"
"17586","4","7"
"17870","92","1"
"18027","2","18"
"18081","485","0"
"18171","8","3"
"18271","5","8"
"18373","159","0"
"18433","29","2"
"18470","30","1"
"18474","10","4"
"18630","45","1"
"18964","212","0"
"19050","16","2"
"19394","11","0"
"19420","8","13"
"19464","2029","0"
"19482","45","0"
"19575","407","0"
"19578","1","18"
"19812","3","18"
"19894","8","2"
"19921","99","2"
"20313","20","1"
"20442","2262","0"
"20470","7","3"
"20492","593","0"
"20516","35","1"
"20593","302","0"
"20766","12","2"
"20870","2","7"
"21019","26","0"
"21066","69","0"
"21162","70","1"
"21632","354","0"
"21657","4","10"
"21694","14","3"
"21846","53","1"
"21849","40","0"
"21968","134","0"
"21975","12","2"
"22535","4","4"
"22566","3","9"
"22724","7","7"
"22970","25","4"
"23065","12","1"
"23143","35","1"
"23296","3","19"
"23301","76","0"
"23358","54","1"
"23414","60","1"
"23443","64","1"
"23483","70","5"
"23502","61","0"
"23576","57","2"
"23776","47","0"
"23836","47","0"
"23938","27","0"
"24090","223","0"
"24099","7","3"
"24357","15","2"
"24444","11","3"
"24574","5","4"
"24668","151","0"
"24740","563","0"
"24800","3","10"
"24853","5","13"
"25016","183","0"
"25635","182","0"
"25716","13","1"
"25778","3","19"
"25783","19","6"
"25892","75","1"
"26357","4","4"
"26412","17","1"
"26436","32","0"
"26591","16","6"
"26669","3","4"
"26980","18","2"
"27318","10","5"
"27389","7","12"
"27530","7","1"
"27593","1","27"
"27642","3","30"
"27731","62","0"
"27926","25","0"
"27964","65","1"
"27980","789","0"
"27997","518","0"
"28078","3","12"
"28108","6","4"
"28296","10","3"
"28302","15","7"
"28355","1","0"
"28430","15","5"
"28497","11","1"
"28499","49","1"
"28517","2","11"
"28596","1","17"
"28700","1","25"
"28948","365","0"
"28964","14","3"
"29204","28","3"
"29611","28","4"
"29656","247","0"
"30052","25","1"
"30164","10","10"
"30262","6","0"
"30329","35","3"
"30625","77","0"
"30628","14","0"
"31119","2","19"
"31204","45","3"
"31356","27","0"
"31358","40","2"
"31426","133","0"
"31427","34","1"
"31433","29","1"
"31437","2","23"
"31591","4","21"
"31729","1","28"
"31793","16","1"
"31831","901","0"
"31848","10","1"
"32244","1","29"
"32251","76","2"
"32382","11","3"
"32390","2","6"
"32944","2","23"
"32976","1","18"
"33248","4","18"
"33281","219","0"
"33433","46","3"
"33439","92","0"
"33731","3","1"
"33792","9","2"
"34568","82","1"
"35093","15","3"
"35507","55","0"
"35538","7","4"
"35681","14","6"
"35928","8","5"
"35937","4","10"
"35987","970","0"
"36030","360","0"
"36037","560","0"
"36169","5","6"
"36202","360","0"
"36222","45","3"
"36702","4","10"
"36703","3","3"
"36755","6","18"
"36776","5","8"
"36994","2","22"
"37058","5","3"
"37299","21","2"
"37433","250","0"
"37447","532","0"
"37457","53","3"
"37480","101","0"
"37570","65","0"
"37659","3","9"
"37767","1","27"
"37879","32","0"
"37896","33","3"
"37910","28","2"
"38617","905","0"
"38710","22","2"
"38911","104","0"
"39030","10","14"
"39163","79","0"
"39182","9","4"
"39196","10","4"
"39378","1","27"
"39546","8","15"
"39831","52","0"
"39840","35","0"
"39885","3","17"
"40101","5","10"
"40218","24","8"
"40604","26","1"
"40628","15","7"
"40805","260","0"
"40858","248","1"
"40988","42","0"
"41087","3","23"
"41116","13","8"
"41290","186","0"
"41339","9","22"
"41584","20","3"
"41867","29","2"
"42158","36","1"
"42544","54","1"
"42546","20","2"
"42598","18","0"
"42743","45","2"
"42744","71","2"
"42900","195","2"
"42902","151","0"
"42996","4","4"
"43035","6","6"
"43076","261","0"
